Sl.No,Fiber Volume Fraction (%),Ply Thickness (mm),Load (N),ModelingPly.1.ply_angle,ModelingPly.2.ply_angle,ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle,ModelingPly.6.ply_angle,Laminate Family,E1,E2,E3,G12,G23,G31,nu12,nu13,nu23,Equivalent Stress Maximum (MPa),Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa],Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum (mm/mm),Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1],Total Deformation Maximum (mm),Inverse Reserve Factor Maximum,Fail Status,Plate Length (mm),Plate Width (mm),Nx_true (N/mm),Ny_true (N/mm),Nxy_true (N/mm)
567,46.4,0.2,1521,45,-45,45,-45,45,-45,Angle-Ply,108596.0,8836.0,8836.0,13224.8,7934.879999999999,13224.8,0.2804,0.2804,0.34288,91.607,23.554066,77.436543,36.199016,0.001309,0.000352,0.000838,0.000489,0.1963,0.762,FAIL,150.0,100.0,15.21,0.0,0.0
568,46.5,0.2,3482,45,-45,45,-45,45,-45,Angle-Ply,108822.5,8847.5,8847.5,13250.5,7950.299999999999,13250.5,0.28025,0.28025,0.3428,246.124,63.578829,207.573307,97.630492,0.003516,0.000947,0.00225,0.001316,0.52741,1.203,No Fail,150.0,100.0,34.82,0.0,0.0
569,46.6,0.2,1997,45,-45,45,-45,45,-45,Angle-Ply,109049.0,8859.0,8859.0,13276.2,7965.72,13276.2,0.2801,0.2801,0.34272,136.344,35.34082,114.679231,54.252961,0.001948,0.000526,0.001247,0.000731,0.29217,0.89,FAIL,150.0,100.0,19.97,0.0,0.0
570,46.7,0.2,1607,45,-45,45,-45,45,-45,Angle-Ply,109275.5,8870.5,8870.5,13301.9,7981.139999999999,13301.9,0.27995,0.27995,0.3426399999999999,69.206,17.97713,58.030638,27.604153,0.000989,0.000268,0.000633,0.000372,0.1483,0.698,FAIL,150.0,100.0,16.07,0.0,0.0
571,46.8,0.2,2253,45,-45,45,-45,45,-45,Angle-Ply,109502.0,8882.0,8882.0,13327.6,7996.559999999999,13327.6,0.2798,0.2798,0.34256,126.74,32.95157,105.908039,50.637363,0.001811,0.000492,0.001161,0.000683,0.27159,0.862,FAIL,150.0,100.0,22.53,0.0,0.0
572,46.9,0.2,2693,45,-45,45,-45,45,-45,Angle-Ply,109728.5,8893.5,8893.5,13353.3,8011.98,13353.3,0.2796499999999999,0.2796499999999999,0.34248,209.517,54.452214,174.412022,83.788436,0.002993,0.000815,0.001921,0.00113,0.44896,1.099,No Fail,150.0,100.0,26.93,0.0,0.0
573,47.0,0.2,4026,45,-45,45,-45,45,-45,Angle-Ply,109955.0,8905.0,8905.0,13379.0,8027.4,13379.0,0.2794999999999999,0.2794999999999999,0.3424,358.798,93.09556,297.435871,143.516389,0.005126,0.001399,0.003294,0.001939,0.76885,1.525,No Fail,150.0,100.0,40.26,0.0,0.0
574,47.1,0.2,3487,45,-45,45,-45,45,-45,Angle-Ply,110181.5,8916.5,8916.5,13404.7,8042.82,13404.7,0.27935,0.27935,0.3423199999999999,256.652,66.398505,211.798462,102.603391,0.003666,0.001003,0.00236,0.001389,0.54997,1.233,No Fail,150.0,100.0,34.87,0.0,0.0
575,47.2,0.2,1684,45,-45,45,-45,45,-45,Angle-Ply,110408.0,8928.0,8928.0,13430.4,8058.24,13430.4,0.2792,0.2792,0.34224,136.711,35.221636,112.271593,54.584065,0.001953,0.000536,0.00126,0.000741,0.29295,0.891,FAIL,150.0,100.0,16.84,0.0,0.0
576,47.3,0.2,3662,45,-45,45,-45,45,-45,Angle-Ply,110634.5,8939.5,8939.5,13456.1,8073.66,13456.1,0.27905,0.27905,0.34216,342.543,87.776763,279.852061,136.491213,0.004893,0.001345,0.003165,0.001857,0.73402,1.479,No Fail,150.0,100.0,36.62,0.0,0.0
577,47.4,0.2,2452,45,-45,45,-45,45,-45,Angle-Ply,110861.0,8951.0,8951.0,13481.8,8089.079999999999,13481.8,0.2789,0.2789,0.34208,156.066,39.729034,126.804048,62.016918,0.00223,0.000614,0.001447,0.000847,0.33443,0.946,FAIL,150.0,100.0,24.52,0.0,0.0
578,47.5,0.2,3200,45,-45,45,-45,45,-45,Angle-Ply,111087.5,8962.5,8962.5,13507.5,8104.5,13507.5,0.27875,0.27875,0.3419999999999999,238.091,60.140685,192.331212,94.28589,0.003401,0.000939,0.002213,0.001292,0.51019,1.18,No Fail,150.0,100.0,32.0,0.0,0.0
579,47.6,0.2,2456,45,-45,45,-45,45,-45,Angle-Ply,111314.0,8974.0,8974.0,13533.200000000004,8119.920000000001,13533.200000000004,0.2786,0.2786,0.34192,181.516,45.443612,145.740697,71.583966,0.002593,0.000717,0.001693,0.000985,0.38896,1.019,No Fail,150.0,100.0,24.56,0.0,0.0
580,47.7,0.2,1898,45,-45,45,-45,45,-45,Angle-Ply,111540.5,8985.5,8985.5,13558.9,8135.34,13558.9,0.27845,0.27845,0.34184,87.489,21.685534,69.801178,34.33631,0.00125,0.000346,0.000819,0.000475,0.18748,0.75,FAIL,150.0,100.0,18.98,0.0,0.0
581,47.8,0.2,2491,45,-45,45,-45,45,-45,Angle-Ply,111767.0,8997.0,8997.0,13584.6,8150.76,13584.6,0.2783,0.2783,0.34176,186.636,45.752989,147.924405,72.845941,0.002666,0.00074,0.001754,0.001013,0.39994,1.033,No Fail,150.0,100.0,24.91,0.0,0.0
582,47.9,0.2,3203,45,-45,45,-45,45,-45,Angle-Ply,111993.5,9008.5,9008.5,13610.3,8166.179999999999,13610.3,0.27815,0.27815,0.34168,236.671,57.325892,186.304904,91.808882,0.003381,0.000939,0.002233,0.001283,0.50715,1.176,No Fail,150.0,100.0,32.03,0.0,0.0
583,48.0,0.2,1659,45,-45,45,-45,45,-45,Angle-Ply,112220.0,9020.0,9020.0,13636.0,8181.599999999999,13636.0,0.278,0.278,0.3416,71.117,17.004517,55.589868,27.401452,0.001016,0.000283,0.000674,0.000385,0.15239,0.703,FAIL,150.0,100.0,16.59,0.0,0.0
584,48.1,0.2,3598,45,-45,45,-45,45,-45,Angle-Ply,112446.5,9031.5,9031.5,13661.700000000004,8197.02,13661.700000000004,0.2778499999999999,0.2778499999999999,0.34152,309.856,73.075511,240.459605,118.512326,0.004427,0.001233,0.002951,0.001677,0.66398,1.385,No Fail,150.0,100.0,35.98,0.0,0.0
585,48.2,0.2,2555,45,-45,45,-45,45,-45,Angle-Ply,112673.0,9043.0,9043.0,13687.4,8212.44,13687.4,0.2777,0.2777,0.34144,239.106,55.57708,184.187034,90.730662,0.003416,0.000952,0.002288,0.001292,0.51237,1.183,No Fail,150.0,100.0,25.55,0.0,0.0
586,48.3,0.2,1980,45,-45,45,-45,45,-45,Angle-Ply,112899.5,9054.5,9054.5,13713.1,8227.86,13713.1,0.27755,0.27755,0.34136,155.061,35.498777,118.54784,58.344198,0.002215,0.000618,0.001491,0.000837,0.33227,0.943,FAIL,150.0,100.0,19.8,0.0,0.0
587,48.4,0.2,2648,45,-45,45,-45,45,-45,Angle-Ply,113126.0,9066.0,9066.0,13738.8,8243.279999999999,13738.8,0.2774,0.2774,0.34128,222.434,50.127228,168.756705,82.949853,0.003178,0.000888,0.00215,0.001198,0.47664,1.136,No Fail,150.0,100.0,26.48,0.0,0.0
588,48.5,0.2,4115,45,-45,45,-45,45,-45,Angle-Ply,113352.5,9077.5,9077.5,13764.5,8258.699999999999,13764.5,0.27725,0.27725,0.3412,407.537,90.366033,306.798081,150.55894,0.005822,0.001627,0.00396,0.002191,0.87329,1.664,No Fail,150.0,100.0,41.15,0.0,0.0
589,48.6,0.2,2831,45,-45,45,-45,45,-45,Angle-Ply,113579.0,9089.0,9089.0,13790.2,8274.12,13790.2,0.2771,0.2771,0.34112,250.743,54.687525,187.287186,91.731468,0.003582,0.001002,0.00245,0.001345,0.53731,1.216,No Fail,150.0,100.0,28.31,0.0,0.0
590,48.7,0.2,3251,45,-45,45,-45,45,-45,Angle-Ply,113805.5,9100.5,9100.5,13815.9,8289.54,13815.9,0.27695,0.27695,0.34104,239.103,51.283402,177.18919,86.5905,0.003416,0.000956,0.002349,0.001279,0.51236,1.183,No Fail,150.0,100.0,32.51,0.0,0.0
591,48.8,0.2,4322,45,-45,45,-45,45,-45,Angle-Ply,114032.0,9112.0,9112.0,13841.6,8304.96,13841.6,0.2768,0.2768,0.34096,340.741,71.865211,250.518934,122.11616,0.004868,0.001363,0.003367,0.001818,0.73016,1.474,No Fail,150.0,100.0,43.22,0.0,0.0
592,48.9,0.2,4516,45,-45,45,-45,45,-45,Angle-Ply,114258.5,9123.5,9123.5,13867.3,8320.38,13867.3,0.2766499999999999,0.2766499999999999,0.34088,443.963,92.082292,323.839595,157.416564,0.006342,0.001776,0.004411,0.002361,0.95135,1.768,No Fail,150.0,100.0,45.16,0.0,0.0
593,49.0,0.2,1566,45,-45,45,-45,45,-45,Angle-Ply,114485.0,9135.0,9135.0,13893.0,8335.8,13893.0,0.2764999999999999,0.2764999999999999,0.3408,128.516,26.219197,93.008519,45.074619,0.001836,0.000514,0.001284,0.000681,0.27539,0.867,FAIL,150.0,100.0,15.66,0.0,0.0
594,49.1,0.2,4517,45,-45,45,-45,45,-45,Angle-Ply,114711.5,9146.5,9146.5,13918.7,8351.22,13918.7,0.27635,0.27635,0.34072,352.392,70.743489,253.047366,122.240365,0.005034,0.001409,0.003542,0.001862,0.75513,1.507,No Fail,150.0,100.0,45.17,0.0,0.0
595,49.2,0.2,3507,45,-45,45,-45,45,-45,Angle-Ply,114938.0,9158.0,9158.0,13944.4,8366.640000000001,13944.4,0.2762,0.2762,0.34064,280.563,55.452839,199.920374,96.250434,0.004008,0.001122,0.002837,0.001477,0.60121,1.302,No Fail,150.0,100.0,35.07,0.0,0.0
596,49.3,0.2,2962,45,-45,45,-45,45,-45,Angle-Ply,115164.5,9169.5,9169.5,13970.1,8382.06,13970.1,0.27605,0.27605,0.34056,207.262,40.359967,146.5719,70.319246,0.002961,0.000829,0.002108,0.001087,0.44413,1.092,No Fail,150.0,100.0,29.62,0.0,0.0
597,49.4,0.2,1573,45,-45,45,-45,45,-45,Angle-Ply,115391.0,9181.0,9181.0,13995.8,8397.48,13995.8,0.2759,0.2759,0.34048,121.445,23.319711,85.24747,40.751577,0.001735,0.000485,0.001243,0.000634,0.26024,0.847,FAIL,150.0,100.0,15.73,0.0,0.0
598,49.5,0.2,4305,45,-45,45,-45,45,-45,Angle-Ply,115617.5,9192.5,9192.5,14021.5,8412.9,14021.5,0.27575,0.27575,0.3404,393.825,74.645305,274.445043,130.718394,0.005626,0.001573,0.004053,0.002048,0.84391,1.625,No Fail,150.0,100.0,43.05,0.0,0.0
599,49.6,0.2,4412,45,-45,45,-45,45,-45,Angle-Ply,115844.0,9204.0,9204.0,14047.2,8428.32,14047.2,0.2756,0.2756,0.3403199999999999,373.748,70.007268,258.626836,122.735518,0.005339,0.001492,0.003869,0.001935,0.80089,1.568,No Fail,150.0,100.0,44.12,0.0,0.0
600,49.7,0.2,1808,45,-45,45,-45,45,-45,Angle-Ply,116070.5,9215.5,9215.5,14072.9,8443.74,14072.9,0.27545,0.27545,0.34024,60.0,11.121212,41.237632,19.4994,0.000857,0.000239,0.000625,0.000309,0.12857,0.671,FAIL,150.0,100.0,18.08,0.0,0.0
601,49.8,0.2,2352,45,-45,45,-45,45,-45,Angle-Ply,116297.0,9227.0,9227.0,14098.6,8459.16,14098.6,0.2753,0.2753,0.34016,126.769,23.285155,86.560762,40.786255,0.001811,0.000505,0.001327,0.00065,0.27165,0.862,FAIL,150.0,100.0,23.52,0.0,0.0
602,49.9,0.2,3334,45,-45,45,-45,45,-45,Angle-Ply,116523.5,9238.5,9238.5,14124.3,8474.58,14124.3,0.27515,0.27515,0.34008,260.46,47.484455,176.744013,82.995787,0.003721,0.001037,0.002743,0.001329,0.55813,1.244,No Fail,150.0,100.0,33.34,0.0,0.0
603,50.0,0.2,2586,45,-45,45,-45,45,-45,Angle-Ply,116750.0,9250.0,9250.0,14150.0,8490.0,14150.0,0.275,0.275,0.3399999999999999,200.541,36.347943,135.283443,63.320856,0.002865,0.000797,0.002124,0.001018,0.42973,1.073,No Fail,150.0,100.0,25.86,0.0,0.0
604,50.1,0.2,2666,45,-45,45,-45,45,-45,Angle-Ply,116976.5,9261.5,9261.5,14175.7,8505.42,14175.7,0.27485,0.27485,0.33992,215.233,38.851479,144.391563,67.379147,0.003075,0.000855,0.002292,0.001087,0.46121,1.115,No Fail,150.0,100.0,26.66,0.0,0.0
605,50.2,0.2,3287,45,-45,45,-45,45,-45,Angle-Ply,117203.0,9273.0,9273.0,14201.4,8520.84,14201.4,0.2747,0.2747,0.33984,300.804,54.173169,200.75797,93.421474,0.004297,0.001193,0.003219,0.00151,0.64458,1.359,No Fail,150.0,100.0,32.87,0.0,0.0
606,50.3,0.2,3285,45,-45,45,-45,45,-45,Angle-Ply,117429.5,9284.5,9284.5,14227.1,8536.26,14227.1,0.27455,0.27455,0.33976,306.447,55.163461,203.552289,94.485646,0.004378,0.001213,0.003297,0.00153,0.65667,1.376,No Fail,150.0,100.0,32.85,0.0,0.0
607,50.4,0.2,2723,45,-45,45,-45,45,-45,Angle-Ply,117656.0,9296.0,9296.0,14252.8,8551.679999999998,14252.8,0.2744,0.2744,0.33968,160.224,28.881222,105.965522,49.080831,0.002289,0.000633,0.001732,0.000795,0.34334,0.958,FAIL,150.0,100.0,27.23,0.0,0.0
608,50.5,0.2,4366,45,-45,45,-45,45,-45,Angle-Ply,117882.5,9307.5,9307.5,14278.5,8567.1,14278.5,0.27425,0.27425,0.3396,357.006,64.55704,235.192194,108.738582,0.0051,0.001408,0.003879,0.001761,0.76501,1.52,No Fail,150.0,100.0,43.66,0.0,0.0
609,50.6,0.2,2327,45,-45,45,-45,45,-45,Angle-Ply,118109.0,9319.0,9319.0,14304.2,8582.52,14304.2,0.2741,0.2741,0.33952,127.286,23.131206,83.568107,38.581883,0.001818,0.000501,0.001389,0.000624,0.27275,0.864,FAIL,150.0,100.0,23.27,0.0,0.0
610,50.7,0.2,2190,45,-45,45,-45,45,-45,Angle-Ply,118335.5,9330.5,9330.5,14329.9,8597.939999999999,14329.9,0.2739499999999999,0.2739499999999999,0.3394399999999999,184.753,33.798633,120.940955,55.779899,0.002639,0.000726,0.002026,0.0009,0.3959,1.028,No Fail,150.0,100.0,21.9,0.0,0.0
611,50.8,0.2,4161,45,-45,45,-45,45,-45,Angle-Ply,118562.0,9342.0,9342.0,14355.6,8613.36,14355.6,0.2738,0.2738,0.33936,348.302,64.247426,227.444571,104.840561,0.004976,0.001366,0.003836,0.001687,0.74636,1.495,No Fail,150.0,100.0,41.61,0.0,0.0
612,50.9,0.2,2120,45,-45,45,-45,45,-45,Angle-Ply,118788.5,9353.5,9353.5,14381.3,8628.779999999999,14381.3,0.2736499999999999,0.2736499999999999,0.33928,122.166,22.756092,79.621195,36.696617,0.001745,0.000478,0.001351,0.000588,0.26178,0.849,FAIL,150.0,100.0,21.2,0.0,0.0
613,51.0,0.2,3229,45,-45,45,-45,45,-45,Angle-Ply,119015.0,9365.0,9365.0,14407.0,8644.199999999999,14407.0,0.2734999999999999,0.2734999999999999,0.3392,229.309,43.193416,149.239368,68.805343,0.003276,0.000895,0.002546,0.001097,0.49138,1.155,No Fail,150.0,100.0,32.29,0.0,0.0
614,51.1,0.2,4160,45,-45,45,-45,45,-45,Angle-Ply,119241.5,9376.5,9376.5,14432.7,8659.62,14432.7,0.27335,0.27335,0.33912,331.753,63.270647,215.719522,99.533342,0.004739,0.001292,0.003696,0.001576,0.7109,1.448,No Fail,150.0,100.0,41.6,0.0,0.0
615,51.2,0.2,4735,45,-45,45,-45,45,-45,Angle-Ply,119468.0,9388.0,9388.0,14458.4,8675.039999999999,14458.4,0.2732,0.2732,0.33904,426.849,82.514493,277.454279,128.176484,0.006098,0.001658,0.004773,0.002015,0.91468,1.72,No Fail,150.0,100.0,47.35,0.0,0.0
616,51.3,0.2,3724,45,-45,45,-45,45,-45,Angle-Ply,119694.5,9399.5,9399.5,14484.1,8690.46,14484.1,0.27305,0.27305,0.33896,305.178,59.853267,198.401077,91.810424,0.00436,0.001182,0.003423,0.001431,0.65395,1.372,No Fail,150.0,100.0,37.24,0.0,0.0
617,51.4,0.2,4525,45,-45,45,-45,45,-45,Angle-Ply,119921.0,9411.0,9411.0,14509.8,8705.88,14509.8,0.2729,0.2729,0.33888,385.237,76.71531,250.624281,116.222089,0.005503,0.001488,0.004334,0.001794,0.82551,1.601,No Fail,150.0,100.0,45.25,0.0,0.0
618,51.5,0.2,2028,45,-45,45,-45,45,-45,Angle-Ply,120147.5,9422.5,9422.5,14535.5,8721.3,14535.5,0.27275,0.27275,0.3388,115.322,23.33223,75.117449,34.922176,0.001647,0.000444,0.001301,0.000533,0.24712,0.829,FAIL,150.0,100.0,20.28,0.0,0.0
619,51.6,0.2,3048,45,-45,45,-45,45,-45,Angle-Ply,120374.0,9434.0,9434.0,14561.2,8736.72,14561.2,0.2726,0.2726,0.33872,285.78,58.771498,186.474949,86.944437,0.004083,0.001098,0.003232,0.001314,0.61239,1.317,No Fail,150.0,100.0,30.48,0.0,0.0
620,51.7,0.2,2461,45,-45,45,-45,45,-45,Angle-Ply,120600.5,9445.5,9445.5,14586.9,8752.14,14586.9,0.2724499999999999,0.2724499999999999,0.33864,197.122,41.218589,128.915885,60.303283,0.002816,0.000755,0.002234,0.0009,0.4224,1.063,No Fail,150.0,100.0,24.61,0.0,0.0
621,51.8,0.2,3276,45,-45,45,-45,45,-45,Angle-Ply,120827.0,9457.0,9457.0,14612.6,8767.56,14612.6,0.2723,0.2723,0.3385599999999999,311.707,66.281658,204.417628,95.962839,0.004453,0.00119,0.00354,0.001414,0.66794,1.391,No Fail,150.0,100.0,32.76,0.0,0.0
622,51.9,0.2,3082,45,-45,45,-45,45,-45,Angle-Ply,121053.5,9468.5,9468.5,14638.3,8782.98,14638.3,0.27215,0.27215,0.33848,263.299,56.935951,173.234061,81.637241,0.003761,0.001002,0.002995,0.001186,0.56421,1.252,No Fail,150.0,100.0,30.82,0.0,0.0
623,52.0,0.2,4411,45,-45,45,-45,45,-45,Angle-Ply,121280.0,9480.0,9480.0,14664.0,8798.4,14664.0,0.272,0.272,0.3384,434.237,95.476328,286.766289,135.692312,0.006203,0.001647,0.004947,0.001944,0.93051,1.741,No Fail,150.0,100.0,44.11,0.0,0.0
624,52.1,0.2,4525,45,-45,45,-45,45,-45,Angle-Ply,121506.5,9491.5,9491.5,14689.7,8813.82,14689.7,0.27185,0.27185,0.3383199999999999,444.4,99.324884,294.706397,140.046225,0.006349,0.00168,0.005069,0.001976,0.95228,1.77,No Fail,150.0,100.0,45.25,0.0,0.0
625,52.2,0.2,3653,45,-45,45,-45,45,-45,Angle-Ply,121733.0,9503.0,9503.0,14715.4,8829.24,14715.4,0.2717,0.2717,0.33824,266.101,60.433207,177.281978,84.618198,0.003801,0.001002,0.003038,0.001176,0.57022,1.26,No Fail,150.0,100.0,36.53,0.0,0.0
626,52.3,0.2,3119,45,-45,45,-45,45,-45,Angle-Ply,121959.5,9514.5,9514.5,14741.1,8844.66,14741.1,0.27155,0.27155,0.33816,246.142,56.772781,164.810624,79.021266,0.003516,0.000924,0.002812,0.001081,0.52745,1.203,No Fail,150.0,100.0,31.19,0.0,0.0
627,52.4,0.2,4271,45,-45,45,-45,45,-45,Angle-Ply,122186.0,9526.0,9526.0,14766.8,8860.08,14766.8,0.2714,0.2714,0.33808,365.441,85.552226,246.017925,118.496871,0.005221,0.001367,0.004176,0.001595,0.78309,1.544,No Fail,150.0,100.0,42.71,0.0,0.0
628,52.5,0.2,3074,45,-45,45,-45,45,-45,Angle-Ply,122412.5,9537.5,9537.5,14792.5,8875.5,14792.5,0.27125,0.27125,0.3379999999999999,199.245,47.310046,134.910167,65.278097,0.002846,0.000742,0.002277,0.000864,0.42695,1.069,No Fail,150.0,100.0,30.74,0.0,0.0
629,52.6,0.2,3781,45,-45,45,-45,45,-45,Angle-Ply,122639.0,9549.0,9549.0,14818.2,8890.92,14818.2,0.2711,0.2711,0.33792,284.934,68.567169,194.113468,94.350106,0.00407,0.001058,0.003255,0.001228,0.61057,1.314,No Fail,150.0,100.0,37.81,0.0,0.0
630,52.7,0.2,3165,45,-45,45,-45,45,-45,Angle-Ply,122865.5,9560.5,9560.5,14843.9,8906.34,14843.9,0.2709499999999999,0.2709499999999999,0.33784,271.063,66.049243,185.853312,90.736631,0.003872,0.001002,0.003095,0.001161,0.58085,1.274,No Fail,150.0,100.0,31.65,0.0,0.0
631,52.8,0.2,1717,45,-45,45,-45,45,-45,Angle-Ply,123092.0,9572.0,9572.0,14869.6,8921.76,14869.6,0.2708,0.2708,0.33776,133.095,32.807551,91.8698,45.045729,0.001901,0.00049,0.001519,0.000567,0.2852,0.88,FAIL,150.0,100.0,17.17,0.0,0.0
632,52.9,0.2,4647,45,-45,45,-45,45,-45,Angle-Ply,123318.5,9583.5,9583.5,14895.3,8937.179999999998,14895.3,0.2706499999999999,0.2706499999999999,0.33768,454.692,113.267489,316.045106,155.604926,0.006496,0.001669,0.005184,0.001927,0.97434,1.799,No Fail,150.0,100.0,46.47,0.0,0.0
633,53.0,0.2,4000,45,-45,45,-45,45,-45,Angle-Ply,123545.0,9595.0,9595.0,14921.0,8952.6,14921.0,0.2704999999999999,0.2704999999999999,0.3376,358.92,90.260728,251.273771,124.200346,0.005127,0.001312,0.004086,0.001513,0.76911,1.525,No Fail,150.0,100.0,40.0,0.0,0.0
634,53.1,0.2,2104,45,-45,45,-45,45,-45,Angle-Ply,123771.5,9606.5,9606.5,14946.7,8968.02,14946.7,0.27035,0.27035,0.33752,136.736,34.674776,96.4349,47.841339,0.001953,0.000498,0.001554,0.000573,0.29301,0.891,FAIL,150.0,100.0,21.04,0.0,0.0
635,53.2,0.2,3032,45,-45,45,-45,45,-45,Angle-Ply,123998.0,9618.0,9618.0,14972.4,8983.439999999999,14972.4,0.2702,0.2702,0.3374399999999999,264.716,67.614385,188.106834,93.636344,0.003782,0.00096,0.003004,0.001105,0.56725,1.256,No Fail,150.0,100.0,30.32,0.0,0.0
636,53.3,0.2,3330,45,-45,45,-45,45,-45,Angle-Ply,124224.5,9629.5,9629.5,14998.1,8998.859999999999,14998.1,0.27005,0.27005,0.33736,276.141,70.958006,197.736337,98.732685,0.003945,0.000997,0.003127,0.001147,0.59173,1.289,No Fail,150.0,100.0,33.3,0.0,0.0
637,53.4,0.2,2805,45,-45,45,-45,45,-45,Angle-Ply,124451.0,9641.0,9641.0,15023.8,9014.28,15023.8,0.2699,0.2699,0.33728,249.793,64.496121,180.265388,90.255337,0.003568,0.000898,0.002821,0.001032,0.53527,1.214,No Fail,150.0,100.0,28.05,0.0,0.0
638,53.5,0.2,2931,45,-45,45,-45,45,-45,Angle-Ply,124677.5,9652.5,9652.5,15049.5,9029.7,15049.5,0.26975,0.26975,0.3372,249.962,64.769684,181.808867,91.243536,0.003571,0.000895,0.002816,0.001029,0.53563,1.214,No Fail,150.0,100.0,29.31,0.0,0.0
639,53.6,0.2,3593,45,-45,45,-45,45,-45,Angle-Ply,124904.0,9664.0,9664.0,15075.2,9045.12,15075.2,0.2696,0.2696,0.33712,315.457,81.928885,231.265099,116.293174,0.004507,0.001126,0.003544,0.001293,0.67598,1.401,No Fail,150.0,100.0,35.93,0.0,0.0
640,53.7,0.2,3766,45,-45,45,-45,45,-45,Angle-Ply,125130.5,9675.5,9675.5,15100.9,9060.54,15100.9,0.2694499999999999,0.2694499999999999,0.33704,285.445,74.211045,210.925315,106.231144,0.004078,0.001014,0.003197,0.001166,0.61167,1.316,No Fail,150.0,100.0,37.66,0.0,0.0
641,53.8,0.2,1831,45,-45,45,-45,45,-45,Angle-Ply,125357.0,9687.0,9687.0,15126.6,9075.96,15126.6,0.2693,0.2693,0.33696,154.605,40.185282,115.149348,58.060149,0.002209,0.000547,0.001726,0.000629,0.3313,0.942,FAIL,150.0,100.0,18.31,0.0,0.0
642,53.9,0.2,2495,45,-45,45,-45,45,-45,Angle-Ply,125583.5,9698.5,9698.5,15152.3,9091.38,15152.3,0.26915,0.26915,0.33688,160.143,41.562093,120.215674,60.656795,0.002288,0.000564,0.001781,0.00065,0.34316,0.958,FAIL,150.0,100.0,24.95,0.0,0.0
643,54.0,0.2,3798,45,-45,45,-45,45,-45,Angle-Ply,125810.0,9710.0,9710.0,15178.000000000002,9106.8,15178.000000000002,0.269,0.269,0.3368,296.018,76.613458,223.95381,113.026816,0.004229,0.001039,0.00328,0.001198,0.63432,1.346,No Fail,150.0,100.0,37.98,0.0,0.0
644,54.1,0.2,4556,45,-45,45,-45,45,-45,Angle-Ply,126036.5,9721.5,9721.5,15203.700000000004,9122.22,15203.700000000004,0.26885,0.26885,0.33672,358.215,92.338994,273.106584,137.803019,0.005117,0.001252,0.003953,0.001446,0.7676,1.523,No Fail,150.0,100.0,45.56,0.0,0.0
645,54.2,0.2,3540,45,-45,45,-45,45,-45,Angle-Ply,126263.0,9733.0,9733.0,15229.4,9137.64,15229.4,0.2687,0.2687,0.33664,310.272,79.561558,238.357695,120.186306,0.004432,0.00108,0.003409,0.001249,0.66487,1.386,No Fail,150.0,100.0,35.4,0.0,0.0
646,54.3,0.2,2724,45,-45,45,-45,45,-45,Angle-Ply,126489.5,9744.5,9744.5,15255.1,9153.06,15255.1,0.26855,0.26855,0.3365599999999999,242.958,61.899436,188.042387,94.705327,0.003471,0.000842,0.002658,0.000976,0.52062,1.194,No Fail,150.0,100.0,27.24,0.0,0.0
647,54.4,0.2,3945,45,-45,45,-45,45,-45,Angle-Ply,126716.0,9756.0,9756.0,15280.8,9168.48,15280.8,0.2683999999999999,0.2683999999999999,0.33648,285.514,72.188234,222.597238,111.924108,0.004079,0.000985,0.00311,0.001146,0.61182,1.316,No Fail,150.0,100.0,39.45,0.0,0.0
648,54.5,0.2,3583,45,-45,45,-45,45,-45,Angle-Ply,126942.5,9767.5,9767.5,15306.500000000002,9183.9,15306.500000000002,0.26825,0.26825,0.3364,308.594,77.341897,242.308144,121.576368,0.004408,0.001061,0.003344,0.001237,0.66127,1.382,No Fail,150.0,100.0,35.83,0.0,0.0
649,54.6,0.2,2584,45,-45,45,-45,45,-45,Angle-Ply,127169.0,9779.0,9779.0,15332.200000000004,9199.320000000002,15332.200000000004,0.2681,0.2681,0.3363199999999999,141.718,35.169364,112.048239,56.073295,0.002025,0.000485,0.001529,0.000568,0.30368,0.905,FAIL,150.0,100.0,25.84,0.0,0.0
650,54.7,0.2,4271,45,-45,45,-45,45,-45,Angle-Ply,127395.5,9790.5,9790.5,15357.9,9214.74,15357.9,0.2679499999999999,0.2679499999999999,0.33624,384.567,94.399477,306.093596,152.710589,0.005494,0.001311,0.004127,0.001539,0.82407,1.599,No Fail,150.0,100.0,42.71,0.0,0.0
651,54.8,0.2,3845,45,-45,45,-45,45,-45,Angle-Ply,127622.0,9801.999999999998,9801.999999999998,15383.6,9230.159999999998,15383.6,0.2678,0.2678,0.33616,291.48,70.702636,233.500482,116.081415,0.004164,0.00099,0.003111,0.001166,0.6246,1.333,No Fail,150.0,100.0,38.45,0.0,0.0
652,54.9,0.2,4086,45,-45,45,-45,45,-45,Angle-Ply,127848.5,9813.499999999998,9813.499999999998,15409.299999999996,9245.579999999998,15409.299999999996,0.26765,0.26765,0.33608,315.729,75.608471,254.493789,126.01179,0.00451,0.001068,0.003352,0.001263,0.67656,1.402,No Fail,150.0,100.0,40.86,0.0,0.0
