Fiber Volume Fraction,Load (N),Ply1 Angle,Ply2 Angle,Ply3 Angle,Ply4 Angle,Ply5 Angle,Ply6 Angle,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Inverse Reserve Factor Maximum
0.41,7233,0,45,-45,-45,45,0,3.033,159.68,0.003402,0.25
0.5,8411,90,45,0,0,45,90,3.199,145.76,0.003591,0.23
0.42,5697,45,45,-45,-45,45,45,2.357,122.89,0.002591,0.187
0.64,1720,0,15,-15,-15,15,0,0.478,23.95,0.000522,0.037
0.43,7463,0,15,-15,-15,15,0,3.055,152.64,0.003462,0.232
0.6,9814,0,30,-30,-30,30,0,3.098,137.01,0.003433,0.217
0.46,7726,0,90,90,90,90,0,3.227,136.62,0.003516,0.21
0.41,6644,90,0,45,-45,0,90,2.812,139.98,0.003181,0.217
0.61,8750,45,45,-45,-45,45,45,2.489,127.67,0.002752,0.2
0.51,6539,0,60,-60,-60,60,0,2.2,122.11,0.002441,0.19
0.45,4449,0,0,90,90,0,0,1.9,83.98,0.002128,0.132
0.52,7375,45,-45,45,-45,45,-45,2.305,136.53,0.002516,0.212
0.4,2818,45,-45,45,-45,45,-45,1.11,70.17,0.001252,0.111
0.48,3441,90,0,45,-45,0,90,1.258,64.34,0.001393,0.1
0.59,7045,45,-45,45,-45,45,-45,1.946,116.8,0.002166,0.178
0.6,5972,0,30,-30,-30,30,0,1.641,91.61,0.001814,0.138
0.44,5328,45,45,-45,-45,45,45,2.074,111.7,0.002284,0.172
0.55,4835,90,45,0,0,45,90,1.575,78.04,0.001735,0.117
0.61,1727,0,60,-60,-60,60,0,0.504,24.15,0.000555,0.037
0.44,8074,0,90,90,90,90,0,3.471,151.33,0.003789,0.229
0.55,9789,0,90,90,90,90,0,3.387,151.22,0.003701,0.235
0.64,3350,0,30,-30,-30,30,0,0.913,49.15,0.001016,0.074
0.64,6840,0,45,-45,90,-45,45,1.78,101.12,0.001992,0.156
0.57,4515,0,0,90,90,0,0,1.536,64.44,0.001739,0.1
0.52,3634,0,0,90,90,0,0,1.344,57.08,0.001489,0.088
0.54,7051,45,-45,45,-45,45,-45,2.054,126.35,0.002258,0.194
0.4,3898,0,30,-30,-30,30,0,1.74,87.87,0.001957,0.136
0.61,3874,0,30,-30,-30,30,0,1.111,56.93,0.001244,0.088
0.48,5595,0,30,60,-60,-30,0,1.987,107.2,0.002193,0.166
0.42,8102,0,15,-15,-15,15,0,3.386,173.28,0.003774,0.273
0.45,5604,0,45,-45,-45,45,0,2.224,107.88,0.00243,0.167
0.62,3649,0,90,90,90,90,0,1.135,49.19,0.001256,0.077
0.57,4034,0,90,90,90,90,0,1.318,59.89,0.001446,0.091
0.55,3093,0,30,60,-60,-30,0,1.002,52.18,0.001126,0.08
0.61,5650,90,0,45,-45,0,90,1.697,78.91,0.001882,0.119
0.44,7467,45,45,-45,-45,45,45,2.97,153.29,0.003242,0.239
0.45,1708,0,90,90,90,90,0,0.726,31.75,0.000798,0.048
0.44,9671,45,45,-45,-45,45,45,3.849,192.54,0.004293,0.293
0.42,5307,45,45,-45,-45,45,45,2.085,117.15,0.002319,0.179
0.53,9328,0,30,60,-60,-30,0,3.142,155.62,0.003533,0.243
0.4,6735,0,30,60,-60,-30,0,3.065,150.86,0.003432,0.231
0.61,4804,0,0,90,90,0,0,1.531,65.67,0.00168,0.104
0.43,7363,0,60,-60,-60,60,0,2.988,150.72,0.003302,0.229
0.51,1510,0,15,-15,-15,15,0,0.528,25.47,0.000578,0.039
0.6,4703,0,30,-30,-30,30,0,1.348,72.92,0.001482,0.111
0.6,9596,0,45,-45,90,-45,45,2.665,147.16,0.002993,0.225
0.54,1761,0,60,-60,-60,60,0,0.608,28.88,0.000665,0.044
0.5,1185,0,30,60,-60,-30,0,0.441,21.06,0.000487,0.033
0.49,7759,45,-45,45,-45,45,-45,2.586,156.76,0.002846,0.248
0.57,4460,0,45,-45,90,-45,45,1.3,73.3,0.001438,0.114
0.41,9017,0,45,-45,-45,45,0,3.663,200.59,0.004067,0.305
0.64,1461,0,45,-45,90,-45,45,0.394,21.48,0.000446,0.034
0.56,2676,90,0,45,-45,0,90,0.836,42.06,0.000916,0.065
0.45,1851,45,-45,45,-45,45,-45,0.664,39.24,0.000743,0.061
0.4,3893,0,90,90,90,90,0,1.864,78.72,0.002101,0.122
0.6,8398,0,30,-30,-30,30,0,2.51,120.12,0.00274,0.184
0.43,9385,0,30,60,-60,-30,0,4.045,193.83,0.004554,0.293
0.62,4892,45,-45,45,-45,45,-45,1.293,77.36,0.001428,0.122
0.5,4297,0,30,-30,-30,30,0,1.45,77.81,0.001584,0.12
0.55,7178,45,-45,45,-45,45,-45,2.138,127.7,0.002418,0.202
0.44,5961,0,90,90,90,90,0,2.544,108.68,0.002836,0.172
0.48,3331,0,90,90,90,90,0,1.327,58.61,0.00147,0.093
0.6,8787,0,60,-60,-60,60,0,2.551,136.1,0.002853,0.211
0.56,8972,0,0,90,90,0,0,2.975,134.66,0.003281,0.202
0.63,5990,0,15,-15,-15,15,0,1.663,86.65,0.001863,0.13
0.61,8688,45,45,-45,-45,45,45,2.638,126.22,0.002927,0.199
0.57,1409,0,0,90,90,0,0,0.485,20.13,0.000529,0.031
0.5,7135,0,45,-45,90,-45,45,2.413,134.01,0.002682,0.204
0.65,9922,0,30,60,-60,-30,0,2.76,133.19,0.003086,0.203
0.48,8520,45,-45,45,-45,45,-45,2.95,173.03,0.003319,0.26
0.61,7455,0,15,-15,-15,15,0,2.207,108.32,0.00241,0.17
0.42,4666,90,0,45,-45,0,90,1.969,98.03,0.002208,0.148
0.62,5118,0,30,-30,-30,30,0,1.502,71.97,0.001668,0.109
0.46,2736,90,0,45,-45,0,90,1.061,51.86,0.001172,0.078
0.48,4434,90,45,0,0,45,90,1.617,80.46,0.001828,0.123
0.44,8536,0,45,-45,-45,45,0,3.422,170.49,0.003835,0.263
0.5,5638,0,0,90,90,0,0,2.092,91.2,0.002326,0.144
0.59,2369,0,45,-45,-45,45,0,0.746,33.65,0.000816,0.051
0.45,3543,0,15,-15,-15,15,0,1.407,71.19,0.001579,0.108
0.41,2489,0,60,-60,-60,60,0,1.105,51.91,0.001212,0.079
0.46,8978,0,45,-45,-45,45,0,3.552,172.08,0.003992,0.268
0.65,5109,0,30,60,-60,-30,0,1.351,71.16,0.001499,0.11
0.56,4710,0,45,-45,-45,45,0,1.494,73.95,0.001646,0.116
0.48,1582,0,15,-15,-15,15,0,0.553,30.68,0.000615,0.048
0.55,3777,90,0,45,-45,0,90,1.142,64.96,0.001264,0.098
0.61,2711,90,0,45,-45,0,90,0.792,38.63,0.000897,0.058
0.55,5308,0,0,90,90,0,0,1.835,81.03,0.002073,0.126
0.51,3918,45,45,-45,-45,45,45,1.392,66.34,0.001564,0.105
0.63,1329,45,45,-45,-45,45,45,0.394,18.52,0.000431,0.028
0.55,3500,90,45,0,0,45,90,1.052,58.42,0.001178,0.089
0.42,5456,0,45,-45,-45,45,0,2.275,116.83,0.002557,0.177
0.45,8584,0,30,60,-60,-30,0,3.278,171.18,0.003683,0.259
0.47,2424,0,15,-15,-15,15,0,0.883,48.07,0.000969,0.074
0.56,5967,0,45,-45,-45,45,0,1.921,95.5,0.002122,0.144
0.53,2230,90,0,45,-45,0,90,0.753,37.3,0.000842,0.059
0.55,7424,0,90,90,90,90,0,2.604,111.05,0.002907,0.171
0.56,5748,45,-45,45,-45,45,-45,1.638,102.04,0.001808,0.153
0.63,5959,0,30,-30,-30,30,0,1.648,83.66,0.001857,0.129
0.64,5173,90,45,0,0,45,90,1.345,74.56,0.001515,0.117
0.55,4534,0,45,-45,90,-45,45,1.356,78.43,0.00153,0.12
0.64,6317,0,45,-45,90,-45,45,1.633,90.73,0.001822,0.137
0.45,3612,90,0,45,-45,0,90,1.472,70.97,0.001654,0.112
0.46,7969,90,0,45,-45,0,90,3.068,150.63,0.003432,0.233
0.51,7279,0,90,90,90,90,0,2.761,118.42,0.003108,0.183
0.46,4939,45,-45,45,-45,45,-45,1.752,105.98,0.001912,0.16
0.62,6937,90,45,0,0,45,90,1.946,104.73,0.002193,0.159
0.47,1109,0,15,-15,-15,15,0,0.436,20.65,0.00048,0.032
0.56,4327,0,60,-60,-60,60,0,1.329,72.2,0.00145,0.111
0.53,4812,0,60,-60,-60,60,0,1.521,84.3,0.001699,0.127
0.48,4132,0,15,-15,-15,15,0,1.431,77.73,0.001586,0.121
0.52,2612,0,30,60,-60,-30,0,0.865,47.16,0.00098,0.073
0.48,9714,0,15,-15,-15,15,0,3.628,176.15,0.003981,0.273
0.62,7766,0,30,60,-60,-30,0,2.097,116.54,0.002375,0.176
0.49,4370,0,45,-45,90,-45,45,1.49,82.21,0.001628,0.129
0.62,9717,0,45,-45,-45,45,0,2.74,144.13,0.003057,0.225
0.57,3779,0,45,-45,90,-45,45,1.101,62.57,0.001212,0.094
0.58,9757,45,-45,45,-45,45,-45,2.795,160.79,0.003094,0.253
0.44,5496,0,60,-60,-60,60,0,2.146,108.96,0.002408,0.165
0.6,5554,0,30,-30,-30,30,0,1.633,85.37,0.001793,0.134
0.48,4297,0,30,-30,-30,30,0,1.562,80.31,0.001766,0.124
0.63,6532,90,0,45,-45,0,90,1.805,95.6,0.002019,0.144
0.42,3478,90,0,45,-45,0,90,1.397,77.88,0.001522,0.121
0.48,1755,0,0,90,90,0,0,0.68,30.34,0.000747,0.046
0.4,7184,0,60,-60,-60,60,0,3.242,160.63,0.003586,0.246
0.54,5073,45,-45,45,-45,45,-45,1.487,94.09,0.001634,0.144
0.44,5725,0,45,-45,90,-45,45,2.172,120.38,0.002392,0.182
0.47,8990,0,60,-60,-60,60,0,3.352,167.38,0.003689,0.261
0.63,4432,45,45,-45,-45,45,45,1.207,64.14,0.001359,0.098
0.46,4298,0,45,-45,90,-45,45,1.592,89.32,0.001792,0.141
0.48,9912,0,60,-60,-60,60,0,3.658,187.45,0.004089,0.28
0.51,1825,45,-45,45,-45,45,-45,0.576,33.95,0.000639,0.053
0.48,5025,0,15,-15,-15,15,0,1.746,99.87,0.001928,0.151
0.51,6586,0,45,-45,-45,45,0,2.231,115.93,0.002461,0.176
0.65,7040,0,60,-60,-60,60,0,1.95,96.98,0.002148,0.151
0.56,5363,0,0,90,90,0,0,1.872,79.37,0.002118,0.125
0.63,7879,0,90,90,90,90,0,2.437,101.42,0.002669,0.158
0.43,6754,0,30,-30,-30,30,0,2.668,143.62,0.003013,0.224
0.54,4725,0,30,-30,-30,30,0,1.538,77.11,0.001698,0.121
0.49,1341,0,90,90,90,90,0,0.535,22.61,0.000602,0.035
0.48,3080,0,45,-45,-45,45,0,1.145,54.77,0.001259,0.083
0.41,7535,0,45,-45,90,-45,45,3.03,172.87,0.003394,0.263
0.6,6957,0,60,-60,-60,60,0,2.159,98.55,0.002377,0.147
0.61,8382,0,30,60,-60,-30,0,2.419,125.57,0.002663,0.189
0.41,8101,90,0,45,-45,0,90,3.528,169.98,0.003877,0.258
0.48,2779,0,15,-15,-15,15,0,1.078,48.69,0.001212,0.077
0.53,7198,45,-45,45,-45,45,-45,2.172,132.25,0.00244,0.198
0.42,8849,0,45,-45,90,-45,45,3.566,193.52,0.003885,0.3
0.6,5591,90,0,45,-45,0,90,1.61,87.06,0.001771,0.131
0.65,6586,0,30,60,-60,-30,0,1.758,88.55,0.001989,0.14
0.54,2915,0,90,90,90,90,0,1.012,43.28,0.001111,0.067
0.48,8984,0,30,-30,-30,30,0,3.334,170.72,0.003738,0.265
0.45,3070,90,0,45,-45,0,90,1.176,62.43,0.001323,0.094
0.47,1092,45,45,-45,-45,45,45,0.416,19.46,0.000454,0.031
0.41,1490,0,15,-15,-15,15,0,0.658,31.54,0.000718,0.05
0.44,7451,0,30,60,-60,-30,0,2.877,154.01,0.003146,0.235
0.54,9492,0,30,-30,-30,30,0,3.181,147.67,0.00354,0.22
0.42,2993,0,60,-60,-60,60,0,1.231,65.76,0.001368,0.099
0.57,2870,45,45,-45,-45,45,45,0.909,42.83,0.001001,0.066
0.64,7510,0,15,-15,-15,15,0,2.143,105.95,0.002373,0.162
0.44,6929,0,30,-30,-30,30,0,2.764,141.41,0.003055,0.223
0.42,7999,0,30,-30,-30,30,0,3.368,162.08,0.003725,0.249
0.44,7402,45,-45,45,-45,45,-45,2.792,166.39,0.003146,0.252
0.61,1032,0,90,90,90,90,0,0.314,13.97,0.000355,0.022
0.53,2491,90,45,0,0,45,90,0.794,43.69,0.000865,0.066
0.6,5921,90,45,0,0,45,90,1.704,87.83,0.001923,0.137
0.62,2310,0,45,-45,-45,45,0,0.68,32.64,0.000764,0.05
0.51,9461,0,15,-15,-15,15,0,3.37,163.4,0.003792,0.255
0.62,8397,45,-45,45,-45,45,-45,2.209,130.1,0.002455,0.205
0.61,3605,0,90,90,90,90,0,1.112,48.73,0.001231,0.075
0.43,3813,0,0,90,90,0,0,1.702,73.98,0.001925,0.11
0.52,5886,0,90,90,90,90,0,2.107,94.85,0.002377,0.146
0.63,7231,0,90,90,90,90,0,2.198,95.8,0.002477,0.145
0.44,4552,0,90,90,90,90,0,2.006,87.99,0.002208,0.139
0.62,2274,45,45,-45,-45,45,45,0.655,31.35,0.00073,0.048
0.56,1539,0,60,-60,-60,60,0,0.498,24.49,0.000554,0.037
0.58,7581,0,45,-45,90,-45,45,2.254,121.56,0.002475,0.187
0.52,7822,0,45,-45,90,-45,45,2.544,145.33,0.002798,0.23
0.6,5167,0,0,90,90,0,0,1.647,70.17,0.001794,0.109
0.56,8103,90,45,0,0,45,90,2.58,127.15,0.002876,0.193
0.48,7228,0,30,60,-60,-30,0,2.518,136.08,0.002748,0.207
0.57,2878,45,-45,45,-45,45,-45,0.808,48.13,0.000883,0.076
0.54,3420,45,45,-45,-45,45,45,1.158,56.22,0.001296,0.086
0.56,7202,45,-45,45,-45,45,-45,2.05,122.09,0.002266,0.183
0.55,1482,0,30,-30,-30,30,0,0.484,23.02,0.000531,0.036
0.44,4360,0,45,-45,90,-45,45,1.681,92.51,0.001894,0.145
0.53,6826,45,-45,45,-45,45,-45,2.124,126.57,0.00235,0.195
0.5,7279,0,45,-45,90,-45,45,2.442,139.69,0.002735,0.215
0.45,5918,90,45,0,0,45,90,2.467,108.82,0.00274,0.167
0.44,6228,90,0,45,-45,0,90,2.555,121.71,0.002812,0.185
0.5,7674,0,45,-45,-45,45,0,2.743,141.82,0.003013,0.212
0.63,9826,0,30,60,-60,-30,0,2.728,144.83,0.003079,0.221
0.46,9198,0,30,-30,-30,30,0,3.309,184.79,0.003638,0.29
0.63,8073,0,45,-45,90,-45,45,2.171,122.11,0.002413,0.185
0.53,4191,0,45,-45,-45,45,0,1.445,66.42,0.001596,0.1
0.42,8468,0,0,90,90,0,0,3.811,167.53,0.004191,0.26
0.64,5535,45,45,-45,-45,45,45,1.471,81.7,0.001655,0.129
0.49,8166,0,60,-60,-60,60,0,3.006,148.95,0.003402,0.227
0.56,8005,0,90,90,90,90,0,2.649,116.73,0.002888,0.182
0.41,8823,0,15,-15,-15,15,0,3.809,195.32,0.004284,0.307
0.5,1671,45,45,-45,-45,45,45,0.621,27.94,0.000701,0.042
0.49,2628,0,0,90,90,0,0,1.017,45.23,0.001138,0.071
0.51,3952,0,45,-45,90,-45,45,1.32,73.49,0.001447,0.114
0.61,2053,0,45,-45,90,-45,45,0.575,30.74,0.000638,0.048
0.61,9984,0,15,-15,-15,15,0,2.722,149.35,0.003007,0.232
0.49,7421,0,30,60,-60,-30,0,2.658,133.44,0.002959,0.2
0.5,7137,0,90,90,90,90,0,2.668,117.39,0.002967,0.184
0.5,7563,0,15,-15,-15,15,0,2.71,133.39,0.002999,0.2
0.4,6886,0,60,-60,-60,60,0,2.938,158.08,0.003251,0.244
0.4,5367,0,30,-30,-30,30,0,2.4,114.77,0.002633,0.176
0.64,2445,0,0,90,90,0,0,0.75,30.99,0.000833,0.047
0.52,7673,0,45,-45,90,-45,45,2.461,136.86,0.002789,0.205
0.44,9640,0,60,-60,-60,60,0,3.865,191.96,0.004295,0.303
0.56,7914,90,45,0,0,45,90,2.396,128.47,0.002715,0.2
0.45,5690,0,60,-60,-60,60,0,2.335,111.6,0.00263,0.168
0.48,5248,0,30,-30,-30,30,0,1.964,91.39,0.002216,0.138
0.41,1301,90,0,45,-45,0,90,0.58,27.97,0.000648,0.042
0.45,9615,0,45,-45,90,-45,45,3.693,201.22,0.00412,0.311
0.65,1271,0,90,90,90,90,0,0.378,15.87,0.000417,0.025
0.63,6290,0,45,-45,90,-45,45,1.639,96.37,0.001853,0.145
0.63,9106,0,60,-60,-60,60,0,2.404,132.36,0.002664,0.2
0.42,3163,90,45,0,0,45,90,1.283,71.16,0.001446,0.113
0.63,5988,45,45,-45,-45,45,45,1.727,82.86,0.001947,0.131
0.47,6452,0,30,-30,-30,30,0,2.266,129.67,0.002485,0.202
0.46,8580,45,45,-45,-45,45,45,3.122,170.97,0.003459,0.268
0.61,9843,0,60,-60,-60,60,0,3.014,136.69,0.003301,0.214
0.46,3716,45,-45,45,-45,45,-45,1.326,80.8,0.001448,0.121
0.52,2480,0,90,90,90,90,0,0.92,40.16,0.001023,0.063
0.51,9212,0,45,-45,-45,45,0,3.259,161.21,0.003554,0.253
0.49,7001,90,45,0,0,45,90,2.516,129.19,0.002798,0.198
0.44,2250,0,45,-45,-45,45,0,0.919,43.74,0.001022,0.068
0.58,2441,0,90,90,90,90,0,0.799,35.09,0.000902,0.054
0.59,3397,45,-45,45,-45,45,-45,0.922,54.78,0.001004,0.082
0.53,7173,45,-45,45,-45,45,-45,2.245,129.54,0.002522,0.198
0.41,5933,0,30,-30,-30,30,0,2.538,131.54,0.002801,0.208
0.43,6784,45,45,-45,-45,45,45,2.845,138.74,0.003199,0.215
0.56,9518,45,-45,45,-45,45,-45,2.761,162.47,0.0031,0.25
0.58,3978,0,0,90,90,0,0,1.301,56.47,0.00143,0.087
0.64,5571,0,15,-15,-15,15,0,1.558,75.74,0.00173,0.119
0.62,6568,90,45,0,0,45,90,1.884,97.2,0.00206,0.15
0.6,5584,90,45,0,0,45,90,1.753,77.99,0.001955,0.117
0.46,8142,90,45,0,0,45,90,2.987,168.11,0.003319,0.254
0.42,9431,0,0,90,90,0,0,4.316,186.35,0.004825,0.29
0.59,9313,0,45,-45,90,-45,45,2.666,145.14,0.002952,0.223
0.55,7652,90,0,45,-45,0,90,2.467,120.92,0.002707,0.185
0.53,4710,0,45,-45,90,-45,45,1.514,83.91,0.001667,0.132
0.59,4257,0,0,90,90,0,0,1.335,58.49,0.001501,0.09
0.5,6671,0,0,90,90,0,0,2.522,111.42,0.00285,0.172
0.55,4358,0,30,60,-60,-30,0,1.489,67.45,0.001651,0.102
0.55,6235,0,0,90,90,0,0,2.188,91.44,0.002471,0.143
0.55,4978,0,15,-15,-15,15,0,1.637,80.15,0.001832,0.123
0.49,5818,45,45,-45,-45,45,45,2.078,103.54,0.002341,0.162
0.59,2264,90,45,0,0,45,90,0.664,34.05,0.000749,0.051
0.54,9637,45,45,-45,-45,45,45,3.179,156.45,0.003546,0.24
0.64,4538,0,45,-45,-45,45,0,1.269,60.51,0.001426,0.093
0.54,4772,0,15,-15,-15,15,0,1.602,75.0,0.001786,0.113
0.52,9091,0,0,90,90,0,0,3.32,144.11,0.003755,0.216
0.43,4144,45,45,-45,-45,45,45,1.666,89.24,0.001841,0.133
0.41,2394,0,15,-15,-15,15,0,1.03,50.77,0.001125,0.08
0.41,3320,0,90,90,90,90,0,1.57,68.64,0.001762,0.106
0.65,3798,0,90,90,90,90,0,1.141,47.45,0.001243,0.072
0.48,7561,0,15,-15,-15,15,0,2.652,145.6,0.002963,0.218
0.62,1932,0,90,90,90,90,0,0.608,26.44,0.000663,0.04
0.55,9485,90,0,45,-45,0,90,2.984,149.48,0.00332,0.226
0.47,2698,0,90,90,90,90,0,1.103,46.39,0.001224,0.073
0.46,4273,0,0,90,90,0,0,1.777,76.76,0.001959,0.12
0.61,5472,0,15,-15,-15,15,0,1.658,76.42,0.001816,0.115
0.47,1043,0,15,-15,-15,15,0,0.401,19.08,0.000447,0.03
0.58,1218,0,30,-30,-30,30,0,0.393,17.57,0.000445,0.027
0.51,1013,0,30,60,-60,-30,0,0.337,17.68,0.000369,0.028
0.54,6654,90,45,0,0,45,90,2.125,117.07,0.00238,0.184
0.42,5155,45,45,-45,-45,45,45,2.013,111.53,0.002272,0.168
0.52,8530,90,0,45,-45,0,90,2.829,151.52,0.003128,0.235
0.61,8946,45,-45,45,-45,45,-45,2.359,146.48,0.002648,0.23
0.41,8288,0,90,90,90,90,0,3.928,162.09,0.004287,0.244
0.42,4116,90,0,45,-45,0,90,1.751,85.86,0.001979,0.13
0.45,6180,0,30,-30,-30,30,0,2.45,123.79,0.002728,0.185
0.43,7336,0,60,-60,-60,60,0,2.983,158.65,0.003333,0.249
0.65,8117,45,45,-45,-45,45,45,2.124,114.99,0.002373,0.182
0.59,1829,0,30,60,-60,-30,0,0.574,26.78,0.000635,0.041
0.5,5062,0,45,-45,90,-45,45,1.748,95.68,0.001934,0.149
0.55,5709,0,45,-45,-45,45,0,1.901,86.3,0.002091,0.135
0.54,5799,90,45,0,0,45,90,1.911,92.7,0.002145,0.142
0.4,9338,90,45,0,0,45,90,4.011,222.77,0.004518,0.351
0.42,9231,0,30,60,-60,-30,0,4.147,182.96,0.004575,0.278
0.57,6361,0,90,90,90,90,0,2.101,94.78,0.002358,0.144
0.54,9434,90,0,45,-45,0,90,3.112,155.3,0.003416,0.234
0.42,9127,90,0,45,-45,0,90,3.874,192.5,0.004355,0.298
0.45,7331,0,90,90,90,90,0,3.049,132.33,0.003426,0.2
0.49,4130,0,15,-15,-15,15,0,1.475,76.25,0.001618,0.12
0.43,8379,0,45,-45,-45,45,0,3.203,187.48,0.003578,0.289
0.41,3834,0,30,-30,-30,30,0,1.611,87.21,0.001825,0.131
0.5,4429,45,-45,45,-45,45,-45,1.475,86.04,0.001617,0.131
0.52,4687,0,15,-15,-15,15,0,1.578,83.05,0.001787,0.13
0.6,5038,0,45,-45,90,-45,45,1.388,78.8,0.001549,0.12
0.62,5020,90,0,45,-45,0,90,1.377,77.75,0.00153,0.121
0.48,8312,0,60,-60,-60,60,0,3.169,148.5,0.003573,0.225
0.54,4748,90,0,45,-45,0,90,1.522,82.03,0.001662,0.127
0.52,6838,0,90,90,90,90,0,2.576,108.54,0.002912,0.168
0.44,6957,0,0,90,90,0,0,2.949,130.31,0.003238,0.199
0.49,1728,45,-45,45,-45,45,-45,0.57,33.6,0.000632,0.052
0.6,3611,90,45,0,0,45,90,1.04,52.96,0.001155,0.08
0.55,9998,0,30,60,-60,-30,0,3.225,155.02,0.003584,0.238
0.45,3459,0,45,-45,90,-45,45,1.285,74.1,0.001402,0.117
0.63,8152,0,60,-60,-60,60,0,2.426,113.94,0.002691,0.18
0.51,5441,0,15,-15,-15,15,0,1.881,95.24,0.002064,0.149
0.44,9868,0,30,60,-60,-30,0,4.162,193.71,0.004559,0.304
0.64,1173,0,0,90,90,0,0,0.359,15.1,0.000401,0.024
0.49,1877,45,45,-45,-45,45,45,0.643,35.83,0.000707,0.054
0.51,1932,0,30,60,-60,-30,0,0.628,36.15,0.000707,0.054
0.62,5022,0,45,-45,90,-45,45,1.373,73.96,0.001513,0.113
0.57,1325,0,90,90,90,90,0,0.434,19.03,0.000475,0.029
0.58,8285,0,0,90,90,0,0,2.674,117.26,0.003009,0.185
0.55,4844,45,45,-45,-45,45,45,1.577,74.37,0.001723,0.115
0.55,7548,90,45,0,0,45,90,2.522,122.54,0.00281,0.193
0.43,3210,0,0,90,90,0,0,1.41,62.65,0.001563,0.095
0.52,6028,0,0,90,90,0,0,2.254,96.0,0.002515,0.144
0.55,3778,0,30,60,-60,-30,0,1.224,60.04,0.001336,0.093
0.5,3326,0,15,-15,-15,15,0,1.179,57.81,0.001329,0.089
0.52,9901,0,30,-30,-30,30,0,3.246,172.27,0.00362,0.259
0.53,8215,0,45,-45,-45,45,0,2.884,134.36,0.003226,0.208
0.59,9026,45,45,-45,-45,45,45,2.776,133.16,0.003122,0.2
0.57,5411,0,45,-45,90,-45,45,1.554,88.14,0.001696,0.134
0.42,8508,45,-45,45,-45,45,-45,3.323,199.62,0.003754,0.303
0.41,4849,0,45,-45,90,-45,45,1.946,109.32,0.002161,0.173
0.61,9430,45,45,-45,-45,45,45,2.669,142.19,0.002939,0.214
0.45,2964,0,90,90,90,90,0,1.288,55.19,0.001444,0.086
0.41,9934,0,0,90,90,0,0,4.665,200.35,0.005121,0.312
0.63,2088,45,-45,45,-45,45,-45,0.55,32.21,0.000609,0.049
0.63,1852,0,45,-45,-45,45,0,0.5,26.55,0.000563,0.04
0.65,6941,45,-45,45,-45,45,-45,1.757,100.92,0.001941,0.157
0.43,1953,90,45,0,0,45,90,0.822,39.85,0.000929,0.061
0.41,7024,0,90,90,90,90,0,3.205,141.74,0.003566,0.222
0.43,9957,45,45,-45,-45,45,45,4.099,199.23,0.004627,0.305
0.57,4469,0,45,-45,90,-45,45,1.28,72.78,0.001397,0.115
0.64,5668,0,30,-30,-30,30,0,1.629,78.39,0.001809,0.119
0.56,7291,45,-45,45,-45,45,-45,2.089,125.32,0.002286,0.189
0.6,7815,0,0,90,90,0,0,2.44,109.0,0.002744,0.172
0.43,7861,90,0,45,-45,0,90,3.333,155.84,0.003754,0.238
0.61,1257,0,90,90,90,90,0,0.386,17.01,0.000434,0.027
0.58,3411,0,60,-60,-60,60,0,1.084,50.21,0.001216,0.079
0.44,7396,90,45,0,0,45,90,2.749,162.17,0.003005,0.254
0.6,4071,90,0,45,-45,0,90,1.194,61.64,0.001315,0.096
0.51,6436,0,45,-45,-45,45,0,2.108,117.91,0.002389,0.185
0.65,5101,0,45,-45,90,-45,45,1.298,73.68,0.001433,0.116
0.63,7969,0,45,-45,-45,45,0,2.121,120.31,0.002378,0.186
0.62,6909,45,-45,45,-45,45,-45,1.81,106.48,0.001973,0.159
0.48,2770,90,45,0,0,45,90,1.048,51.26,0.001151,0.079
0.47,2938,0,30,-30,-30,30,0,1.066,56.51,0.001203,0.087
0.5,5595,90,45,0,0,45,90,1.893,104.72,0.002076,0.162
0.43,6530,0,15,-15,-15,15,0,2.802,130.28,0.003068,0.198
0.5,2543,0,15,-15,-15,15,0,0.891,46.97,0.000985,0.073
0.42,5411,0,90,90,90,90,0,2.488,104.69,0.002719,0.165
0.44,4388,0,30,60,-60,-30,0,1.66,95.5,0.001834,0.148
0.45,6705,45,-45,45,-45,45,-45,2.438,144.25,0.002722,0.215
0.56,1813,45,45,-45,-45,45,45,0.565,29.81,0.000628,0.047
0.56,5195,0,90,90,90,90,0,1.717,76.88,0.001925,0.121
0.59,9503,0,45,-45,90,-45,45,2.654,149.92,0.002996,0.225
0.44,3042,90,45,0,0,45,90,1.189,61.45,0.001303,0.093
0.43,6953,0,30,-30,-30,30,0,2.988,145.09,0.003373,0.217
0.43,2957,90,0,45,-45,0,90,1.274,59.85,0.001398,0.091
0.54,7306,90,45,0,0,45,90,2.489,114.01,0.002806,0.173
0.65,8342,0,30,-30,-30,30,0,2.272,115.38,0.002529,0.176
0.57,3375,90,0,45,-45,0,90,1.009,54.47,0.001112,0.086
0.43,6710,0,15,-15,-15,15,0,2.712,139.61,0.003054,0.219
0.47,2090,0,90,90,90,90,0,0.873,36.12,0.000975,0.057
0.47,7786,0,60,-60,-60,60,0,2.88,149.52,0.003145,0.225
0.54,6359,90,45,0,0,45,90,2.192,98.44,0.002476,0.152
0.62,2889,45,45,-45,-45,45,45,0.798,44.33,0.000901,0.07
0.61,3875,0,60,-60,-60,60,0,1.182,53.62,0.001306,0.081
