Sl.No,Fiber Volume Fraction,Fiber_Thickness,ModelingPly.1.ply_angle, ModelingPly.2.ply_angle, ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle, ModelingPly.6.ply_angle, E1, E2, E3, G12, G23, G31, nu12, nu13,nu23,Inverse Reserve Factor Maximum,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa], Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1]
245,0.4633,0.2835,0,90,90,90,90,0,62175.41,4095.98,3891.18,2263.0,1483.35,1483.35,0.2839,0.2739,0.3341,3.0,0.477336,54.44,8.166,38.108,16.332,0.00477336,0.00360849,0.00061291,0.00398732
246,0.6091,0.2387,0,90,90,90,90,0,83778.42,5521.16,5245.1,3095.11,2145.83,2145.83,0.2782,0.2682,0.3709,3.0,0.243518,37.591,5.639,26.314,11.277,0.00243518,0.00182179,0.00031409,0.00204255
247,0.583,0.2622,90,45,0,0,45,90,81392.04,5206.83,4946.48,2940.38,2103.54,2103.54,0.2644,0.2544,0.3201,3.0,0.155837,22.744,3.412,15.921,6.823,0.00155837,0.00116024,0.0001956,0.00131041
248,0.523,0.198,0,30,-30,-30,30,0,72370.2,4732.51,4495.88,2675.03,1785.43,1785.43,0.259,0.249,0.312,3.0,0.438254,58.129,8.719,40.69,17.439,0.00438254,0.00325953,0.00056225,0.00368487
249,0.4517,0.1857,0,45,-45,-45,45,0,61984.1,4222.94,4011.79,2309.25,1655.01,1655.01,0.3005,0.2905,0.3287,3.0,0.426332,49.953,7.493,34.967,14.986,0.00426332,0.00324477,0.00056413,0.00354871
250,0.4522,0.2514,45,45,-45,-45,45,45,60833.6,3965.92,3767.62,2351.06,1620.13,1620.13,0.2877,0.2777,0.3634,3.0,0.560169,63.065,9.46,44.145,18.919,0.00560169,0.0040236,0.00072567,0.0047705
251,0.6006,0.2871,0,45,-45,-45,45,0,81263.08,5454.13,5181.42,3075.63,2180.72,2180.72,0.2946,0.2846,0.378,3.0,0.367586,56.129,8.419,39.29,16.839,0.00367586,0.00273742,0.00048349,0.0030873
252,0.5334,0.2445,0,45,-45,-45,45,0,73782.76,4968.35,4719.93,2643.65,1822.68,1822.68,0.3145,0.3045,0.3099,3.0,0.259815,35.535,5.33,24.875,10.661,0.00259815,0.00201628,0.00033714,0.00214571
253,0.4896,0.2718,0,45,-45,-45,45,0,63168.38,4482.03,4257.93,2406.04,1715.72,1715.72,0.3006,0.2906,0.3663,3.0,0.097999,12.112,1.817,8.479,3.634,0.00097999,0.00075511,0.00013422,0.00081072
254,0.5937,0.2503,45,45,-45,-45,45,45,80966.31,5250.92,4988.37,2871.82,2111.27,2111.27,0.275,0.265,0.3605,3.0,0.181463,26.461,3.969,18.522,7.938,0.00181463,0.00138208,0.00022877,0.00151177
255,0.6495,0.1992,0,0,90,90,0,0,86622.06,5671.83,5388.23,3221.15,2264.2,2264.2,0.2866,0.2766,0.3468,3.0,0.123182,19.607,2.941,13.725,5.882,0.00123182,0.00091302,0.00015844,0.00103705
256,0.5815,0.2664,0,60,-60,-60,60,0,77660.95,5103.31,4848.14,2808.48,2049.67,2049.67,0.2822,0.2722,0.3698,3.0,0.32186,45.686,6.853,31.98,13.706,0.0032186,0.00244007,0.00041179,0.00268567
257,0.5858,0.1908,0,45,-45,-45,45,0,77354.77,5438.79,5166.85,3010.46,2013.09,2013.09,0.2671,0.2571,0.3357,3.0,0.28265,42.778,6.417,29.944,12.833,0.0028265,0.00213146,0.00038711,0.00235959
258,0.6228,0.2668,0,45,-45,-45,45,0,85940.79,5540.04,5263.03,3120.16,2236.57,2236.57,0.2699,0.2599,0.3755,3.0,0.251354,38.998,5.85,27.298,11.699,0.00251354,0.00187479,0.00031764,0.00211177
259,0.551,0.2082,0,45,-45,-45,45,0,73167.16,4974.65,4725.91,2740.6,1880.71,1880.71,0.2489,0.2389,0.3487,3.0,0.093873,12.985,1.948,9.09,3.896,0.00093873,0.00071071,0.00012423,0.00078308
260,0.6418,0.2283,45,-45,45,-45,45,-45,86489.91,5786.89,5497.55,3243.37,2197.79,2197.79,0.2569,0.2469,0.3656,3.0,0.062449,10.101,1.515,7.071,3.03,0.00062449,0.00046714,8.175e-05,0.00052364
261,0.5497,0.1841,90,45,0,0,45,90,75195.13,4867.22,4623.86,2724.41,1951.08,1951.08,0.315,0.305,0.3426,3.0,0.349264,47.522,7.128,33.266,14.257,0.00349264,0.00261648,0.00044239,0.00292913
262,0.5785,0.2355,45,45,-45,-45,45,45,75881.71,4918.68,4672.75,2816.75,1958.96,1958.96,0.2517,0.2417,0.3181,3.0,0.232574,32.181,4.827,22.527,9.654,0.00232574,0.00171373,0.00029687,0.00196278
263,0.5597,0.2058,0,30,-30,-30,30,0,76356.92,5039.92,4787.93,2770.95,1937.37,1937.37,0.3131,0.3031,0.3722,3.0,0.117674,16.49,2.473,11.543,4.947,0.00117674,0.00089265,0.00015117,0.00098156
264,0.6158,0.2558,0,60,-60,-60,60,0,83389.42,5656.68,5373.85,3062.28,2246.19,2246.19,0.2868,0.2768,0.3625,3.0,0.287953,45.065,6.76,31.546,13.52,0.00287953,0.00220743,0.00037829,0.00239002
265,0.5255,0.1815,45,-45,45,-45,45,-45,71954.16,4935.77,4688.98,2627.15,1879.86,1879.86,0.2538,0.2438,0.3256,3.0,0.270501,36.746,5.512,25.722,11.024,0.00270501,0.00209807,0.00035748,0.00223346
266,0.5088,0.2452,0,60,-60,-60,60,0,68540.43,4250.25,4037.73,2511.08,1842.37,1842.37,0.242,0.232,0.321,3.0,0.29718,35.853,5.378,25.097,10.756,0.0029718,0.00214168,0.00036616,0.00253064
267,0.5427,0.1837,0,60,-60,-60,60,0,75096.47,4938.51,4691.59,2768.04,1884.25,1884.25,0.2433,0.2333,0.308,3.0,0.314865,43.475,6.521,30.432,13.042,0.00314865,0.0023559,0.00040524,0.00264096
268,0.581,0.2995,0,0,90,90,0,0,77731.07,5230.64,4969.11,2991.16,2061.26,2061.26,0.2896,0.2796,0.3557,3.0,0.052397,7.702,1.155,5.391,2.311,0.00052397,0.00038624,6.936e-05,0.00044175
269,0.6218,0.1947,0,30,-30,-30,30,0,81781.51,5880.1,5586.09,3149.91,2172.78,2172.78,0.2756,0.2656,0.3267,3.0,0.395619,64.093,9.614,44.865,19.228,0.00395619,0.00305212,0.00054859,0.00326998
270,0.4832,0.2341,0,90,90,90,90,0,65525.43,4370.61,4152.08,2405.49,1743.48,1743.48,0.3131,0.3031,0.3071,3.0,0.245239,29.806,4.471,20.864,8.942,0.00245239,0.0018586,0.00031841,0.00204587
271,0.5314,0.2931,0,30,-30,-30,30,0,71350.46,4900.46,4655.44,2654.12,1835.44,1835.44,0.2515,0.2415,0.3491,3.0,0.464805,63.013,9.452,44.109,18.904,0.00464805,0.00356125,0.00061821,0.00385759
272,0.4965,0.2599,0,30,-30,-30,30,0,66899.03,4403.55,4183.37,2357.45,1757.24,1757.24,0.2617,0.2517,0.3395,3.0,0.222263,27.003,4.05,18.902,8.101,0.00222263,0.00171815,0.00028255,0.00183963
273,0.4895,0.2833,45,45,-45,-45,45,45,66137.29,4604.69,4374.46,2548.43,1769.92,1769.92,0.2857,0.2757,0.3338,3.0,0.42437,54.385,8.158,38.069,16.315,0.0042437,0.00320107,0.00057561,0.0035432
274,0.5621,0.2211,45,45,-45,-45,45,45,78607.69,5154.66,4896.93,2898.78,1976.41,1976.41,0.2904,0.2804,0.3417,3.0,0.166717,24.05,3.608,16.835,7.215,0.00166717,0.0012445,0.00021417,0.00139971
275,0.5357,0.2357,0,45,-45,-45,45,0,71132.68,4966.67,4718.33,2673.38,1892.01,1892.01,0.309,0.299,0.3233,3.0,0.138952,19.052,2.858,13.336,5.716,0.00138952,0.00106897,0.00018748,0.00115077
276,0.6263,0.2675,90,45,0,0,45,90,85302.69,5511.92,5236.33,3261.14,2215.62,2215.62,0.3051,0.2951,0.3596,3.0,0.360139,56.33,8.45,39.431,16.899,0.00360139,0.00259097,0.00046225,0.00306591
277,0.5406,0.2912,0,30,-30,-30,30,0,74223.44,4783.6,4544.42,2787.55,1887.62,1887.62,0.2715,0.2615,0.3197,3.0,0.222819,30.128,4.519,21.089,9.038,0.00222819,0.00162119,0.00028413,0.00188944
278,0.5483,0.2767,0,60,-60,-60,60,0,75016.09,4735.27,4498.5,2641.53,1960.31,1960.31,0.2758,0.2658,0.3319,3.0,0.454872,60.18,9.027,42.126,18.054,0.00454872,0.00341734,0.00056156,0.00381267
279,0.5444,0.2498,0,90,90,90,90,0,72565.3,5147.99,4890.59,2680.81,1871.16,1871.16,0.3083,0.2983,0.3123,3.0,0.259786,36.541,5.481,25.579,10.962,0.00259786,0.00204458,0.00035249,0.00212943
280,0.5665,0.2142,0,30,-30,-30,30,0,78241.87,4976.31,4727.49,2830.14,1987.39,1987.39,0.3159,0.3059,0.3305,3.0,0.366814,51.269,7.69,35.888,15.381,0.00366814,0.00271731,0.00045868,0.00309079
281,0.6251,0.2984,0,45,-45,-45,45,0,85843.85,5576.95,5298.1,3112.9,2221.23,2221.23,0.2951,0.2851,0.3426,3.0,0.391662,61.01,9.152,42.707,18.303,0.00391662,0.00293988,0.0004975,0.00328192
282,0.5276,0.2775,0,45,-45,-45,45,0,72958.8,4724.69,4488.46,2736.29,1820.82,1820.82,0.2914,0.2814,0.3778,3.0,0.364695,48.62,7.293,34.034,14.586,0.00364695,0.0026653,0.00046648,0.00308719
283,0.4995,0.21,0,90,90,90,90,0,66433.76,4491.96,4267.36,2462.1,1761.49,1761.49,0.2845,0.2745,0.341,3.0,0.117505,14.657,2.199,10.26,4.397,0.00117505,0.00089295,0.00015444,0.00097888
284,0.6115,0.2226,90,45,0,0,45,90,82134.22,5289.08,5024.63,3032.09,2146.15,2146.15,0.2715,0.2615,0.3714,3.0,0.215487,32.075,4.811,22.452,9.622,0.00215487,0.00158676,0.00027336,0.00181929
285,0.4505,0.2159,0,90,90,90,90,0,60265.84,4127.65,3921.27,2238.33,1595.17,1595.17,0.2965,0.2865,0.346,3.0,0.333347,38.08,5.712,26.656,11.424,0.00333347,0.00255193,0.00044231,0.0027677
286,0.4686,0.2813,45,-45,45,-45,45,-45,62998.04,4366.94,4148.59,2301.7,1565.9,1565.9,0.2549,0.2449,0.3398,3.0,0.137665,16.494,2.474,11.546,4.948,0.00137665,0.00107489,0.00018327,0.00113309
287,0.4566,0.207,0,60,-60,-60,60,0,60400.83,4099.79,3894.8,2260.99,1668.01,1668.01,0.2959,0.2859,0.3539,3.0,0.419822,47.876,7.181,33.513,14.363,0.00419822,0.0031762,0.00055484,0.00350329
288,0.555,0.2583,90,45,0,0,45,90,75956.17,4828.36,4586.94,2825.22,2001.87,2001.87,0.2756,0.2656,0.354,3.0,0.452222,61.798,9.27,43.259,18.539,0.00452222,0.00328108,0.00056952,0.00383971
289,0.6182,0.2989,45,-45,45,-45,45,-45,83399.49,5670.0,5386.5,3086.63,2106.77,2106.77,0.2919,0.2819,0.3411,3.0,0.107149,16.835,2.525,11.785,5.051,0.00107149,0.00081814,0.0001413,0.00089076
290,0.5019,0.1962,90,45,0,0,45,90,66459.8,4543.89,4316.7,2587.14,1670.09,1670.09,0.2954,0.2854,0.3549,3.0,0.104726,13.353,2.003,9.347,4.006,0.00104726,0.00077422,0.00014065,0.00088163
291,0.5578,0.2922,0,60,-60,-60,60,0,73790.23,4845.06,4602.81,2711.05,2038.79,2038.79,0.2864,0.2764,0.3501,3.0,0.220251,29.822,4.473,20.875,8.947,0.00220251,0.00165003,0.0002829,0.00184654
292,0.5207,0.2615,90,45,0,0,45,90,73238.71,4894.73,4650.0,2552.11,1854.68,1854.68,0.2495,0.2395,0.3196,3.0,0.388713,52.06,7.809,36.442,15.618,0.00388713,0.00305981,0.00049758,0.00319077
293,0.5158,0.2677,45,45,-45,-45,45,45,69426.93,4754.27,4516.56,2602.27,1785.46,1785.46,0.2847,0.2747,0.3226,3.0,0.131716,17.378,2.607,12.165,5.213,0.00131716,0.00100172,0.00017522,0.00109659
294,0.5693,0.2322,0,45,-45,-45,45,0,77259.46,5236.63,4974.8,2899.04,1957.99,1957.99,0.3185,0.3085,0.3591,3.0,0.428261,62.451,9.368,43.715,18.735,0.00428261,0.00323127,0.00056583,0.00357771
295,0.543,0.2064,0,60,-60,-60,60,0,75413.91,5011.24,4760.68,2761.41,1949.03,1949.03,0.2947,0.2847,0.3515,3.0,0.395279,55.106,8.266,38.574,16.532,0.00395279,0.00299334,0.0005115,0.00329892
296,0.58,0.2125,0,0,90,90,0,0,78962.43,5150.12,4892.61,2927.76,1979.34,1979.34,0.2596,0.2496,0.3168,3.0,0.202576,29.288,4.393,20.501,8.786,0.00202576,0.00150051,0.00025963,0.00170603
297,0.5676,0.2079,0,90,90,90,90,0,76634.15,5099.61,4844.63,2803.22,1964.0,1964.0,0.2657,0.2557,0.3606,3.0,0.074603,10.576,1.586,7.403,3.173,0.00074603,0.00056592,9.66e-05,0.00062217
298,0.6379,0.2593,90,45,0,0,45,90,86928.44,5825.23,5533.97,3174.09,2261.35,2261.35,0.2483,0.2383,0.3332,3.0,0.209122,33.774,5.066,23.642,10.132,0.00209122,0.0015961,0.00027197,0.00173939
299,0.4748,0.2293,45,-45,45,-45,45,-45,64224.58,4531.86,4305.27,2258.92,1675.62,1675.62,0.26,0.25,0.3095,3.0,0.316298,38.626,5.794,27.038,11.588,0.00316298,0.00256487,0.00042099,0.00255693
300,0.4934,0.2129,45,45,-45,-45,45,45,65962.89,4441.31,4219.24,2434.68,1653.63,1653.63,0.284,0.274,0.3263,3.0,0.242289,29.885,4.483,20.919,8.965,0.00242289,0.00184118,0.00031714,0.00201863
301,0.5597,0.2066,0,30,-30,-30,30,0,74319.3,5038.49,4786.57,2791.42,2050.99,2050.99,0.2894,0.2794,0.3488,3.0,0.057972,8.135,1.22,5.695,2.441,0.00057972,0.00043717,7.663e-05,0.0004844
302,0.6473,0.1906,45,45,-45,-45,45,45,88555.45,5676.7,5392.87,3266.29,2260.31,2260.31,0.3145,0.3045,0.3119,3.0,0.424114,67.827,10.174,47.479,20.348,0.00424114,0.00311486,0.00053615,0.0035845
303,0.6494,0.2255,45,-45,45,-45,45,-45,88367.34,5954.5,5656.77,3207.19,2220.69,2220.69,0.2519,0.2419,0.3427,3.0,0.288843,47.519,7.128,33.263,14.256,0.00288843,0.00222245,0.00037642,0.0023941
304,0.5847,0.2347,45,45,-45,-45,45,45,80651.97,5467.6,5194.22,2938.12,2005.37,2005.37,0.32,0.31,0.3006,3.0,0.107161,16.175,2.426,11.323,4.853,0.00107161,0.00082579,0.00014039,0.00088751
305,0.4822,0.2609,0,45,-45,-45,45,0,65857.68,4222.37,4011.25,2594.62,1633.43,1633.43,0.2875,0.2775,0.3166,3.0,0.082056,9.927,1.489,6.949,2.978,0.00082056,0.00057392,0.00010552,0.00070533
306,0.5626,0.2858,0,60,-60,-60,60,0,73742.4,4962.02,4713.92,2748.72,1874.44,1874.44,0.2409,0.2309,0.3789,3.0,0.338777,46.825,7.024,32.778,14.048,0.00338777,0.00255529,0.00044449,0.00283102
307,0.4945,0.2778,0,0,90,90,0,0,67123.72,4584.54,4355.31,2517.63,1787.78,1787.78,0.31,0.3,0.3123,3.0,0.12818,16.324,2.449,11.427,4.897,0.0012818,0.00097259,0.00017024,0.00106821
308,0.6053,0.1978,45,-45,45,-45,45,-45,81321.66,5325.41,5059.14,3051.99,2113.98,2113.98,0.2598,0.2498,0.3731,3.0,0.419491,62.847,9.427,43.993,18.854,0.00419491,0.0030888,0.00054097,0.00354038
309,0.6095,0.2964,0,0,90,90,0,0,82370.42,5355.65,5087.87,3095.78,2105.06,2105.06,0.2859,0.2759,0.3147,3.0,0.08621,13.021,1.953,9.114,3.906,0.0008621,0.00063089,0.00011065,0.00072936
310,0.5438,0.2581,0,60,-60,-60,60,0,74787.71,4897.45,4652.57,2647.19,1930.59,1930.59,0.2968,0.2868,0.3573,3.0,0.105389,14.282,2.142,9.997,4.285,0.00105389,0.00080926,0.00013368,0.00087485
311,0.625,0.2536,0,0,90,90,0,0,86268.8,5899.82,5604.83,3063.91,2233.18,2233.18,0.2839,0.2739,0.3128,3.0,0.149471,24.09,3.613,16.863,7.227,0.00149471,0.00117937,0.00019547,0.00122495
312,0.5721,0.2749,0,90,90,90,90,0,78309.26,5268.84,5005.4,2877.02,1934.76,1934.76,0.2924,0.2824,0.3168,3.0,0.38585,56.396,8.459,39.477,16.919,0.0038585,0.00294033,0.00050412,0.00321109
313,0.6458,0.1918,0,0,90,90,0,0,83902.13,5547.59,5270.21,3314.54,2240.41,2240.41,0.2872,0.2772,0.3089,3.0,0.372164,58.712,8.807,41.099,17.614,0.00372164,0.00265704,0.00048984,0.00317502
314,0.4659,0.2701,0,60,-60,-60,60,0,62738.13,4227.18,4015.83,2425.51,1651.78,1651.78,0.2967,0.2867,0.3759,3.0,0.195664,23.265,3.49,16.285,6.979,0.00195664,0.00143876,0.00025958,0.00165108
315,0.4683,0.2191,0,30,-30,-30,30,0,60202.8,3895.58,3700.8,2280.47,1665.65,1665.65,0.2513,0.2413,0.3214,3.0,0.180815,19.932,2.99,13.953,5.98,0.00180815,0.00131108,0.00023176,0.00153501
316,0.6219,0.2523,0,30,-30,-30,30,0,84326.69,5486.98,5212.63,3111.38,2096.78,2096.78,0.3188,0.3088,0.3565,3.0,0.196339,30.223,4.533,21.156,9.067,0.00196339,0.00145703,0.00025088,0.00165242
317,0.5736,0.1806,0,60,-60,-60,60,0,77393.33,5074.41,4820.69,2874.93,2023.35,2023.35,0.3,0.29,0.378,3.0,0.125568,17.869,2.68,12.508,5.361,0.00125568,0.00093231,0.00016162,0.00105641
318,0.5422,0.2571,0,0,90,90,0,0,75956.08,4866.31,4622.99,2803.69,1887.91,1887.91,0.3026,0.2926,0.3492,3.0,0.447809,61.415,9.212,42.991,18.425,0.00447809,0.00328576,0.00056599,0.00378614
319,0.5491,0.2541,90,45,0,0,45,90,74395.82,5149.52,4892.04,2783.98,2003.24,2003.24,0.3106,0.3006,0.3299,3.0,0.110427,15.721,2.358,11.005,4.716,0.00110427,0.00084703,0.00014792,0.00091586
320,0.5392,0.2292,0,45,-45,-45,45,0,75590.09,4975.77,4726.99,2675.98,1949.67,1949.67,0.3053,0.2953,0.3579,3.0,0.126969,17.454,2.618,12.218,5.236,0.00126969,0.00097836,0.00016163,0.00105233
321,0.6238,0.2888,0,90,90,90,90,0,85487.87,5573.81,5295.12,3163.47,2301.35,2301.35,0.2927,0.2827,0.3625,3.0,0.177384,27.743,4.161,19.42,8.323,0.00177384,0.00131546,0.00022717,0.00149321
322,0.6022,0.218,0,60,-60,-60,60,0,80538.58,5578.29,5299.38,3033.67,2005.43,2005.43,0.3172,0.3072,0.3372,3.0,0.125454,19.381,2.907,13.566,5.814,0.00125454,0.00095828,0.00016845,0.00104229
323,0.4595,0.19,0,60,-60,-60,60,0,61378.15,4245.81,4033.52,2215.98,1566.18,1566.18,0.3009,0.2909,0.3513,3.0,0.247826,28.783,4.317,20.148,8.635,0.00247826,0.00194831,0.00032826,0.00203373
324,0.5852,0.2198,45,-45,45,-45,45,-45,80312.41,5339.86,5072.86,2934.37,2043.42,2043.42,0.2969,0.2869,0.3525,3.0,0.310302,46.059,6.909,32.241,13.818,0.00310302,0.00235445,0.00040145,0.00258764
325,0.5403,0.2559,90,45,0,0,45,90,73176.09,4806.31,4566.0,2730.42,1917.05,1917.05,0.2665,0.2565,0.3363,3.0,0.119545,16.124,2.419,11.287,4.837,0.00119545,0.00088583,0.00015425,0.00100646
326,0.4881,0.2032,0,0,90,90,0,0,65800.4,4325.08,4108.82,2372.12,1686.21,1686.21,0.3121,0.3021,0.3079,3.0,0.316041,37.982,5.697,26.587,11.394,0.00316041,0.00240175,0.00040406,0.00263452
327,0.4586,0.2666,0,60,-60,-60,60,0,62114.47,4083.81,3879.62,2293.21,1617.89,1617.89,0.2538,0.2438,0.3797,3.0,0.438077,50.045,7.507,35.031,15.013,0.00438077,0.00327345,0.00056398,0.00367632
328,0.4627,0.2792,90,45,0,0,45,90,60583.6,4280.2,4066.19,2389.72,1576.71,1576.71,0.2401,0.2301,0.3479,3.0,0.361477,43.155,6.473,30.209,12.947,0.00361477,0.0027088,0.00049863,0.00302475
329,0.5208,0.1949,0,30,-30,-30,30,0,70579.54,4608.58,4378.15,2575.61,1859.67,1859.67,0.3186,0.3086,0.3771,3.0,0.136346,17.556,2.633,12.289,5.267,0.00136346,0.00102243,0.00017412,0.00114281
330,0.4785,0.2658,45,-45,45,-45,45,-45,63801.35,4447.23,4224.87,2345.52,1766.11,1766.11,0.2883,0.2783,0.3789,3.0,0.337914,41.234,6.185,28.864,12.37,0.00337914,0.00263699,0.0004524,0.00278155
331,0.5844,0.2653,0,30,-30,-30,30,0,78266.9,5376.75,5107.91,2985.14,2041.85,2041.85,0.2806,0.2706,0.375,3.0,0.444525,66.595,9.989,46.617,19.979,0.00444525,0.00334632,0.00059561,0.00371572
332,0.5015,0.239,0,0,90,90,0,0,67980.07,4695.52,4460.74,2604.29,1794.11,1794.11,0.2515,0.2415,0.3231,3.0,0.127521,16.677,2.502,11.674,5.003,0.00127521,0.00096056,0.00017173,0.00106552
333,0.489,0.1832,0,30,-30,-30,30,0,66416.05,4428.88,4207.44,2486.29,1738.83,1738.83,0.2523,0.2423,0.3745,3.0,0.312299,38.678,5.802,27.075,11.604,0.00312299,0.00233351,0.00040766,0.00261997
334,0.6023,0.2907,0,0,90,90,0,0,81754.36,5520.98,5244.93,2971.33,2110.65,2110.65,0.245,0.235,0.3088,3.0,0.412897,62.965,9.445,44.075,18.889,0.00412897,0.00317862,0.00053912,0.00342139
335,0.4691,0.2222,45,45,-45,-45,45,45,65691.18,4193.25,3983.59,2527.26,1630.37,1630.37,0.2624,0.2524,0.3264,3.0,0.391757,46.846,7.027,32.792,14.054,0.00391757,0.00278044,0.00049919,0.00335152
336,0.5048,0.2774,90,45,0,0,45,90,70286.69,4579.51,4350.54,2540.47,1721.52,1721.52,0.2556,0.2456,0.3518,3.0,0.399969,51.07,7.66,35.749,15.321,0.00399969,0.00301537,0.00050861,0.00334553
337,0.5467,0.2327,0,45,-45,-45,45,0,72056.43,4815.59,4574.81,2730.42,1940.79,1940.79,0.2628,0.2528,0.3284,3.0,0.098797,13.341,2.001,9.338,4.002,0.00098797,0.00073289,0.0001296,0.00083109
338,0.5144,0.2878,0,60,-60,-60,60,0,68702.6,4492.09,4267.48,2500.78,1853.67,1853.67,0.2676,0.2576,0.3642,3.0,0.316643,39.696,5.954,27.787,11.909,0.00316643,0.00238101,0.00040446,0.00265105
339,0.6259,0.2367,0,60,-60,-60,60,0,84706.98,5727.03,5440.68,3152.22,2141.24,2141.24,0.2481,0.2381,0.3247,3.0,0.420817,67.004,10.051,46.903,20.101,0.00420817,0.0031884,0.0005537,0.00350987
340,0.5631,0.1852,0,60,-60,-60,60,0,74836.23,4959.08,4711.13,2793.88,1902.62,1902.62,0.2582,0.2482,0.3151,3.0,0.082578,11.464,1.72,8.025,3.439,0.00082578,0.0006155,0.00010723,0.00069353
341,0.6027,0.2942,45,45,-45,-45,45,45,79799.97,5393.17,5123.51,3074.9,2088.47,2088.47,0.3056,0.2956,0.3387,3.0,0.10168,15.397,2.31,10.778,4.619,0.0010168,0.00075111,0.00013506,0.00085648
342,0.5567,0.2189,45,45,-45,-45,45,45,74739.27,5082.0,4827.9,2802.59,1999.4,1999.4,0.2553,0.2453,0.3511,3.0,0.091888,12.989,1.948,9.092,3.897,0.00091888,0.00069518,0.00012165,0.00076674
343,0.5757,0.2305,0,45,-45,-45,45,0,78278.46,4983.72,4734.53,2950.97,2126.64,2126.64,0.279,0.269,0.3773,3.0,0.086132,12.186,1.828,8.531,3.656,0.00086132,0.00061945,0.00010898,0.00073357
344,0.6013,0.2396,0,30,-30,-30,30,0,81476.04,5322.53,5056.41,2951.42,2101.27,2101.27,0.32,0.31,0.3575,3.0,0.243626,36.148,5.422,25.304,10.845,0.00243626,0.00183717,0.00031057,0.00203748
345,0.4595,0.1874,0,30,-30,-30,30,0,60738.48,4265.72,4052.43,2268.28,1635.44,1635.44,0.2893,0.2793,0.3234,3.0,0.066846,7.842,1.176,5.49,2.353,0.00066846,0.00051861,9.038e-05,0.00055154
346,0.4628,0.2685,0,60,-60,-60,60,0,61454.03,4204.08,3993.88,2329.47,1644.04,1644.04,0.2966,0.2866,0.3641,3.0,0.104549,12.241,1.836,8.568,3.672,0.00104549,0.0007882,0.00013943,0.00087348
347,0.5709,0.2816,0,90,90,90,90,0,77012.62,4926.98,4680.63,2912.28,1979.5,1979.5,0.2421,0.2321,0.3194,3.0,0.22368,31.271,4.691,21.889,9.381,0.0022368,0.00161063,0.00028423,0.00190405
348,0.5233,0.2222,90,45,0,0,45,90,70779.5,4546.21,4318.9,2636.52,1912.28,1912.28,0.3057,0.2957,0.3126,3.0,0.292912,37.594,5.639,26.316,11.278,0.00292912,0.00213882,0.0003718,0.00248077
349,0.4707,0.2404,90,45,0,0,45,90,64842.52,4187.38,3978.01,2342.86,1628.6,1628.6,0.2493,0.2393,0.3031,3.0,0.386041,45.186,6.778,31.63,13.556,0.00386041,0.002893,0.0004878,0.0032373
350,0.5158,0.2395,90,45,0,0,45,90,69151.81,4903.64,4658.46,2625.06,1777.4,1777.4,0.2654,0.2554,0.3277,3.0,0.20386,27.544,4.132,19.281,8.263,0.0020386,0.0015739,0.00027882,0.0016851
351,0.567,0.2516,0,0,90,90,0,0,75314.79,5070.69,4817.16,2851.79,1959.87,1959.87,0.3114,0.3014,0.3029,3.0,0.181044,25.681,3.852,17.976,7.704,0.00181044,0.00135076,0.00023868,0.00151935
352,0.621,0.1996,45,-45,45,-45,45,-45,83309.77,5612.03,5331.42,3138.18,2276.7,2276.7,0.3163,0.3063,0.3229,3.0,0.243686,38.195,5.729,26.736,11.458,0.00243686,0.00182565,0.00032093,0.00204176
353,0.6233,0.2907,0,60,-60,-60,60,0,82928.69,5542.71,5265.58,3085.91,2213.77,2213.77,0.2615,0.2515,0.3111,3.0,0.267069,41.298,6.195,28.908,12.389,0.00267069,0.00200739,0.00034859,0.00223523
354,0.5897,0.2969,0,45,-45,-45,45,0,78809.11,5477.83,5203.94,2995.07,1983.73,1983.73,0.2954,0.2854,0.3518,3.0,0.055921,8.496,1.274,5.947,2.549,0.00055921,0.0004255,7.546e-05,0.00046529
355,0.4638,0.2801,0,30,-30,-30,30,0,62685.3,4072.81,3869.17,2303.15,1624.13,1624.13,0.2805,0.2705,0.3081,3.0,0.319683,36.5,5.475,25.55,10.95,0.00319683,0.00237715,0.00040759,0.00268852
356,0.5818,0.1961,45,45,-45,-45,45,45,78242.66,5309.12,5043.67,2844.11,1954.79,1954.79,0.3029,0.2929,0.3046,3.0,0.25799,37.777,5.667,26.444,11.333,0.0025799,0.00199241,0.00033798,0.00213467
357,0.6201,0.2833,45,-45,45,-45,45,-45,84015.62,5607.15,5326.79,3132.64,2124.35,2124.35,0.3103,0.3003,0.3739,3.0,0.178766,27.992,4.199,19.595,8.398,0.00178766,0.00134036,0.00023323,0.00149768
358,0.6143,0.2475,0,0,90,90,0,0,79688.97,5435.68,5163.9,3040.15,2099.15,2099.15,0.2658,0.2558,0.3006,3.0,0.271325,41.184,6.178,28.829,12.355,0.00271325,0.00203199,0.00036176,0.00227296
