Sl.No,Fiber Volume Fraction (%),Ply Thickness (mm),Load (N),ModelingPly.1.ply_angle,ModelingPly.2.ply_angle,ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle,ModelingPly.6.ply_angle,Laminate Family,Equivalent Stress Maximum (MPa),Equivalent Elastic Strain Maximum (mm/mm),Total Deformation Maximum (mm),Inverse Reserve Factor Maximum,Fail Status
243,64.2,0.2,4837,0,90,90,90,90,0,Cross-Ply,481.83,0.006883,1.03249,1.877,No Fail
244,64.3,0.2,4116,0,90,90,90,90,0,Cross-Ply,444.041,0.006343,0.95152,1.769,No Fail
245,64.4,0.2,3611,0,90,90,90,90,0,Cross-Ply,360.613,0.005152,0.77274,1.53,No Fail
246,64.5,0.2,2268,0,90,90,90,90,0,Cross-Ply,226.262,0.003232,0.48485,1.146,No Fail
247,64.6,0.2,1602,0,90,90,90,90,0,Cross-Ply,109.879,0.00157,0.23546,0.814,FAIL
248,64.7,0.2,3877,0,90,90,90,90,0,Cross-Ply,423.394,0.006048,0.90727,1.71,No Fail
249,64.8,0.2,2078,0,90,90,90,90,0,Cross-Ply,176.881,0.002527,0.37903,1.005,No Fail
250,64.9,0.2,1947,0,90,90,90,90,0,Cross-Ply,151.269,0.002161,0.32415,0.932,FAIL
251,65.0,0.2,1594,0,90,90,90,90,0,Cross-Ply,84.321,0.001205,0.18069,0.741,FAIL
252,40.0,0.2,3475,0,90,90,90,90,0,Cross-Ply,362.738,0.005182,0.7773,1.536,No Fail
253,40.1,0.2,3750,0,90,90,90,90,0,Cross-Ply,447.373,0.006391,0.95866,1.778,No Fail
254,40.2,0.2,3116,0,90,90,90,90,0,Cross-Ply,349.392,0.004991,0.7487,1.498,No Fail
255,40.3,0.2,2827,0,90,90,90,90,0,Cross-Ply,322.508,0.004607,0.69109,1.421,No Fail
256,40.4,0.2,2644,0,90,90,90,90,0,Cross-Ply,277.064,0.003958,0.59371,1.292,No Fail
257,40.5,0.2,2827,0,90,90,90,90,0,Cross-Ply,228.674,0.003267,0.49002,1.153,No Fail
258,40.6,0.2,4412,0,90,90,90,90,0,Cross-Ply,439.084,0.006273,0.94089,1.755,No Fail
259,40.7,0.2,1787,0,90,90,90,90,0,Cross-Ply,158.541,0.002265,0.33973,0.953,FAIL
260,40.8,0.2,3388,0,90,90,90,90,0,Cross-Ply,400.653,0.005724,0.85854,1.645,No Fail
261,40.9,0.2,2725,0,90,90,90,90,0,Cross-Ply,183.694,0.002624,0.39363,1.025,No Fail
262,41.0,0.2,4234,0,90,90,90,90,0,Cross-Ply,429.111,0.00613,0.91952,1.726,No Fail
263,41.1,0.2,4140,0,90,90,90,90,0,Cross-Ply,416.424,0.005949,0.89234,1.69,No Fail
264,41.2,0.2,2198,0,90,90,90,90,0,Cross-Ply,120.756,0.001725,0.25876,0.845,FAIL
265,41.3,0.2,2033,0,90,90,90,90,0,Cross-Ply,221.71,0.003167,0.47509,1.133,No Fail
266,41.4,0.2,3843,0,90,90,90,90,0,Cross-Ply,446.629,0.00638,0.95706,1.776,No Fail
267,41.5,0.2,2263,0,90,90,90,90,0,Cross-Ply,180.256,0.002575,0.38626,1.015,No Fail
268,41.6,0.2,4184,0,90,90,90,90,0,Cross-Ply,415.978,0.005943,0.89138,1.689,No Fail
269,41.7,0.2,3625,0,90,90,90,90,0,Cross-Ply,412.4,0.005891,0.88371,1.678,No Fail
270,41.8,0.2,1901,0,90,90,90,90,0,Cross-Ply,108.188,0.001546,0.23183,0.809,FAIL
271,41.9,0.2,4877,0,90,90,90,90,0,Cross-Ply,491.553,0.007022,1.05333,1.904,No Fail
272,42.0,0.2,1590,0,90,90,90,90,0,Cross-Ply,151.594,0.002166,0.32485,0.933,FAIL
273,42.1,0.2,3871,0,90,90,90,90,0,Cross-Ply,425.756,0.006082,0.91233,1.716,No Fail
274,42.2,0.2,2888,0,90,90,90,90,0,Cross-Ply,210.776,0.003011,0.45166,1.102,No Fail
275,42.3,0.2,1766,0,90,90,90,90,0,Cross-Ply,94.728,0.001353,0.20299,0.771,FAIL
276,42.4,0.2,3695,0,90,90,90,90,0,Cross-Ply,352.625,0.005037,0.75562,1.507,No Fail
277,42.5,0.2,4204,0,90,90,90,90,0,Cross-Ply,497.435,0.007106,1.06593,1.921,No Fail
278,42.6,0.2,3601,0,90,90,90,90,0,Cross-Ply,319.151,0.004559,0.6839,1.412,No Fail
279,42.7,0.2,4943,0,90,90,90,90,0,Cross-Ply,592.557,0.008465,1.26976,2.193,No Fail
280,42.8,0.2,2715,0,90,90,90,90,0,Cross-Ply,211.1,0.003016,0.45236,1.103,No Fail
281,42.9,0.2,2797,0,90,90,90,90,0,Cross-Ply,268.658,0.003838,0.5757,1.268,No Fail
282,43.0,0.2,2694,0,90,90,90,90,0,Cross-Ply,244.862,0.003498,0.5247,1.2,No Fail
283,43.1,0.2,4378,0,90,90,90,90,0,Cross-Ply,421.773,0.006025,0.9038,1.705,No Fail
284,43.2,0.2,4863,0,90,90,90,90,0,Cross-Ply,583.953,0.008342,1.25133,2.168,No Fail
285,43.3,0.2,4400,0,90,90,90,90,0,Cross-Ply,452.966,0.006471,0.97064,1.794,No Fail
286,43.4,0.2,3024,0,90,90,90,90,0,Cross-Ply,261.83,0.00374,0.56106,1.248,No Fail
287,43.5,0.2,4879,0,90,90,90,90,0,Cross-Ply,503.188,0.007188,1.07826,1.938,No Fail
288,43.6,0.2,4329,0,90,90,90,90,0,Cross-Ply,491.737,0.007025,1.05372,1.905,No Fail
289,43.7,0.2,3192,0,90,90,90,90,0,Cross-Ply,306.337,0.004376,0.65644,1.375,No Fail
290,43.8,0.2,4059,0,90,90,90,90,0,Cross-Ply,434.238,0.006203,0.93051,1.741,No Fail
291,43.9,0.2,4481,0,90,90,90,90,0,Cross-Ply,512.063,0.007315,1.09728,1.963,No Fail
292,44.0,0.2,1803,0,90,90,90,90,0,Cross-Ply,84.382,0.001205,0.18082,0.741,FAIL
293,44.1,0.2,2354,0,90,90,90,90,0,Cross-Ply,150.29,0.002147,0.32205,0.929,FAIL
294,44.2,0.2,3636,0,90,90,90,90,0,Cross-Ply,374.632,0.005352,0.80278,1.57,No Fail
295,44.3,0.2,1600,0,90,90,90,90,0,Cross-Ply,117.233,0.001675,0.25121,0.835,FAIL
296,44.4,0.2,2136,0,90,90,90,90,0,Cross-Ply,125.684,0.001795,0.26932,0.859,FAIL
297,44.5,0.2,4292,0,90,90,90,90,0,Cross-Ply,494.599,0.007066,1.05985,1.913,No Fail
298,44.6,0.2,4581,0,90,90,90,90,0,Cross-Ply,515.783,0.007368,1.10525,1.974,No Fail
299,44.7,0.2,2467,0,90,90,90,90,0,Cross-Ply,189.08,0.002701,0.40517,1.04,No Fail
300,44.8,0.2,4818,0,90,90,90,90,0,Cross-Ply,590.665,0.008438,1.26571,2.188,No Fail
301,44.9,0.2,4020,0,90,90,90,90,0,Cross-Ply,475.374,0.006791,1.01866,1.858,No Fail
302,45.0,0.2,4154,0,90,90,90,90,0,Cross-Ply,439.78,0.006283,0.94239,1.757,No Fail
303,45.1,0.2,3761,0,90,90,90,90,0,Cross-Ply,361.247,0.005161,0.7741,1.532,No Fail
304,45.2,0.2,4275,0,90,90,90,90,0,Cross-Ply,455.547,0.006508,0.97617,1.802,No Fail
305,45.3,0.2,2276,0,90,90,90,90,0,Cross-Ply,244.094,0.003487,0.52306,1.197,No Fail
306,45.4,0.2,2572,0,90,90,90,90,0,Cross-Ply,204.151,0.002916,0.43747,1.083,No Fail
307,45.5,0.2,3156,0,90,90,90,90,0,Cross-Ply,295.881,0.004227,0.63403,1.345,No Fail
308,45.6,0.2,2989,0,90,90,90,90,0,Cross-Ply,280.501,0.004007,0.60107,1.301,No Fail
309,45.7,0.2,2658,0,90,90,90,90,0,Cross-Ply,208.362,0.002977,0.44649,1.095,No Fail
310,45.8,0.2,2448,0,90,90,90,90,0,Cross-Ply,186.387,0.002663,0.3994,1.033,No Fail
311,45.9,0.2,1922,0,90,90,90,90,0,Cross-Ply,176.558,0.002522,0.37834,1.004,No Fail
312,46.0,0.2,1918,0,90,90,90,90,0,Cross-Ply,183.813,0.002626,0.39389,1.025,No Fail
313,46.1,0.2,4168,0,90,90,90,90,0,Cross-Ply,435.398,0.00622,0.93299,1.744,No Fail
314,46.2,0.2,2257,0,90,90,90,90,0,Cross-Ply,229.53,0.003279,0.49185,1.156,No Fail
315,46.3,0.2,4036,0,90,90,90,90,0,Cross-Ply,424.844,0.006069,0.91038,1.714,No Fail
316,46.4,0.2,3336,0,90,90,90,90,0,Cross-Ply,267.47,0.003821,0.57315,1.264,No Fail
317,46.5,0.2,1852,0,90,90,90,90,0,Cross-Ply,163.087,0.00233,0.34947,0.966,FAIL
318,46.6,0.2,2296,0,90,90,90,90,0,Cross-Ply,233.474,0.003335,0.5003,1.167,No Fail
319,46.7,0.2,1550,0,90,90,90,90,0,Cross-Ply,136.85,0.001955,0.29325,0.891,FAIL
320,46.8,0.2,2460,0,90,90,90,90,0,Cross-Ply,210.226,0.003003,0.45048,1.101,No Fail
321,46.9,0.2,3437,0,90,90,90,90,0,Cross-Ply,281.045,0.004015,0.60224,1.303,No Fail
322,47.0,0.2,1942,0,90,90,90,90,0,Cross-Ply,120.282,0.001718,0.25775,0.844,FAIL
323,47.1,0.2,3218,0,90,90,90,90,0,Cross-Ply,266.149,0.003802,0.57032,1.26,No Fail
324,47.2,0.2,3509,0,90,90,90,90,0,Cross-Ply,304.019,0.004343,0.65147,1.369,No Fail
325,47.3,0.2,3042,0,90,90,90,90,0,Cross-Ply,295.536,0.004222,0.63329,1.344,No Fail
326,47.4,0.2,1680,0,90,90,90,90,0,Cross-Ply,153.4,0.002191,0.32871,0.938,FAIL
327,47.5,0.2,3172,0,90,90,90,90,0,Cross-Ply,250.49,0.003578,0.53677,1.216,No Fail
328,47.6,0.2,2902,0,90,90,90,90,0,Cross-Ply,230.608,0.003294,0.49416,1.159,No Fail
329,47.7,0.2,3703,0,90,90,90,90,0,Cross-Ply,435.025,0.006215,0.9322,1.743,No Fail
330,47.8,0.2,2022,0,90,90,90,90,0,Cross-Ply,215.853,0.003084,0.46254,1.117,No Fail
331,47.9,0.2,2563,0,90,90,90,90,0,Cross-Ply,220.077,0.003144,0.47159,1.129,No Fail
332,48.0,0.2,1915,0,90,90,90,90,0,Cross-Ply,77.527,0.001108,0.16613,0.722,FAIL
333,48.1,0.2,3622,0,90,90,90,90,0,Cross-Ply,333.212,0.00476,0.71403,1.452,No Fail
334,48.2,0.2,2290,0,90,90,90,90,0,Cross-Ply,153.89,0.002198,0.32976,0.94,FAIL
335,48.3,0.2,3077,0,90,90,90,90,0,Cross-Ply,293.158,0.004188,0.6282,1.338,No Fail
336,48.4,0.2,4511,0,90,90,90,90,0,Cross-Ply,492.958,0.007042,1.05634,1.908,No Fail
337,48.5,0.2,2569,0,90,90,90,90,0,Cross-Ply,164.402,0.002349,0.35229,0.97,FAIL
338,48.6,0.2,3634,0,90,90,90,90,0,Cross-Ply,353.674,0.005052,0.75787,1.51,No Fail
339,48.7,0.2,4817,0,90,90,90,90,0,Cross-Ply,494.095,0.007058,1.05877,1.912,No Fail
340,48.8,0.2,2239,0,90,90,90,90,0,Cross-Ply,224.066,0.003201,0.48014,1.14,No Fail
341,48.9,0.2,2050,0,90,90,90,90,0,Cross-Ply,139.384,0.001991,0.29868,0.898,FAIL
342,49.0,0.2,1763,0,90,90,90,90,0,Cross-Ply,165.737,0.002368,0.35515,0.974,FAIL
343,49.1,0.2,3077,0,90,90,90,90,0,Cross-Ply,361.78,0.005168,0.77524,1.534,No Fail
344,49.2,0.2,2519,0,90,90,90,90,0,Cross-Ply,210.179,0.003003,0.45038,1.101,No Fail
345,49.3,0.2,3974,0,90,90,90,90,0,Cross-Ply,450.059,0.006429,0.96441,1.786,No Fail
346,49.4,0.2,3089,0,90,90,90,90,0,Cross-Ply,270.968,0.003871,0.58065,1.274,No Fail
347,49.5,0.2,4734,0,90,90,90,90,0,Cross-Ply,490.112,0.007002,1.05024,1.9,No Fail
348,49.6,0.2,3688,0,90,90,90,90,0,Cross-Ply,338.783,0.00484,0.72596,1.468,No Fail
349,49.7,0.2,4768,0,90,90,90,90,0,Cross-Ply,498.079,0.007115,1.06731,1.923,No Fail
350,49.8,0.2,3406,0,90,90,90,90,0,Cross-Ply,349.469,0.004992,0.74886,1.498,No Fail
351,49.9,0.2,4679,0,90,90,90,90,0,Cross-Ply,488.198,0.006974,1.04614,1.895,No Fail
352,50.0,0.2,1750,0,90,90,90,90,0,Cross-Ply,77.876,0.001113,0.16688,0.723,FAIL
353,50.1,0.2,2577,0,90,90,90,90,0,Cross-Ply,274.215,0.003917,0.5876,1.283,No Fail
354,50.2,0.2,3492,0,90,90,90,90,0,Cross-Ply,318.111,0.004544,0.68167,1.409,No Fail
355,50.3,0.2,1935,0,90,90,90,90,0,Cross-Ply,173.355,0.002476,0.37147,0.995,FAIL
356,50.4,0.2,3949,0,90,90,90,90,0,Cross-Ply,386.371,0.00552,0.82794,1.604,No Fail
357,50.5,0.2,3252,0,90,90,90,90,0,Cross-Ply,260.785,0.003725,0.55882,1.245,No Fail
358,50.6,0.2,1782,0,90,90,90,90,0,Cross-Ply,125.983,0.0018,0.26996,0.86,FAIL
359,50.7,0.2,3012,0,90,90,90,90,0,Cross-Ply,348.336,0.004976,0.74643,1.495,No Fail
360,50.8,0.2,2376,0,90,90,90,90,0,Cross-Ply,227.124,0.003245,0.48669,1.149,No Fail
361,50.9,0.2,4867,0,90,90,90,90,0,Cross-Ply,586.348,0.008376,1.25646,2.175,No Fail
362,51.0,0.2,3513,0,90,90,90,90,0,Cross-Ply,309.395,0.00442,0.66299,1.384,No Fail
363,51.1,0.2,4999,0,90,90,90,90,0,Cross-Ply,490.299,0.007004,1.05064,1.901,No Fail
364,51.2,0.2,2443,0,90,90,90,90,0,Cross-Ply,189.773,0.002711,0.40666,1.042,No Fail
365,51.3,0.2,4147,0,90,90,90,90,0,Cross-Ply,498.086,0.007116,1.06733,1.923,No Fail
366,51.4,0.2,3780,0,90,90,90,90,0,Cross-Ply,392.891,0.005613,0.84191,1.623,No Fail
367,51.5,0.2,2135,0,90,90,90,90,0,Cross-Ply,116.926,0.00167,0.25056,0.834,FAIL
368,51.6,0.2,3722,0,90,90,90,90,0,Cross-Ply,370.007,0.005286,0.79287,1.557,No Fail
369,51.7,0.2,1819,0,90,90,90,90,0,Cross-Ply,131.246,0.001875,0.28124,0.875,FAIL
370,51.8,0.2,2667,0,90,90,90,90,0,Cross-Ply,262.058,0.003744,0.56155,1.249,No Fail
371,51.9,0.2,4502,0,90,90,90,90,0,Cross-Ply,461.815,0.006597,0.9896,1.819,No Fail
372,52.0,0.2,3928,0,90,90,90,90,0,Cross-Ply,430.943,0.006156,0.92345,1.731,No Fail
373,52.1,0.2,4808,0,90,90,90,90,0,Cross-Ply,552.635,0.007895,1.18422,2.079,No Fail
374,52.2,0.2,3425,0,90,90,90,90,0,Cross-Ply,300.754,0.004296,0.64447,1.359,No Fail
375,52.3,0.2,2601,0,90,90,90,90,0,Cross-Ply,239.27,0.003418,0.51272,1.184,No Fail
376,52.4,0.2,4896,0,90,90,90,90,0,Cross-Ply,559.553,0.007994,1.19904,2.099,No Fail
377,52.5,0.2,3301,0,90,90,90,90,0,Cross-Ply,338.392,0.004834,0.72513,1.467,No Fail
378,52.6,0.2,3802,0,90,90,90,90,0,Cross-Ply,327.407,0.004677,0.70159,1.435,No Fail
379,52.7,0.2,2946,0,90,90,90,90,0,Cross-Ply,273.298,0.003904,0.58564,1.281,No Fail
380,52.8,0.2,2766,0,90,90,90,90,0,Cross-Ply,296.381,0.004234,0.6351,1.347,No Fail
381,52.9,0.2,3689,0,90,90,90,90,0,Cross-Ply,343.088,0.004901,0.73519,1.48,No Fail
382,53.0,0.2,2212,0,90,90,90,90,0,Cross-Ply,147.725,0.00211,0.31655,0.922,FAIL
383,53.1,0.2,4747,0,90,90,90,90,0,Cross-Ply,510.088,0.007287,1.09305,1.957,No Fail
384,53.2,0.2,3944,0,90,90,90,90,0,Cross-Ply,418.76,0.005982,0.89734,1.696,No Fail
385,53.3,0.2,4906,0,90,90,90,90,0,Cross-Ply,587.566,0.008394,1.25907,2.179,No Fail
386,53.4,0.2,2338,0,90,90,90,90,0,Cross-Ply,184.184,0.002631,0.39468,1.026,No Fail
387,53.5,0.2,3428,0,90,90,90,90,0,Cross-Ply,387.582,0.005537,0.83053,1.607,No Fail
388,53.6,0.2,1826,0,90,90,90,90,0,Cross-Ply,124.165,0.001774,0.26607,0.855,FAIL
389,53.7,0.2,4695,0,90,90,90,90,0,Cross-Ply,444.796,0.006354,0.95313,1.771,No Fail
390,53.8,0.2,1911,0,90,90,90,90,0,Cross-Ply,147.358,0.002105,0.31577,0.921,FAIL
391,53.9,0.2,3244,0,90,90,90,90,0,Cross-Ply,274.407,0.00392,0.58801,1.284,No Fail
392,54.0,0.2,3281,0,90,90,90,90,0,Cross-Ply,294.507,0.004207,0.63109,1.341,No Fail
393,54.1,0.2,4422,0,90,90,90,90,0,Cross-Ply,503.55,0.007194,1.07904,1.939,No Fail
394,54.2,0.2,2353,0,90,90,90,90,0,Cross-Ply,137.211,0.00196,0.29402,0.892,FAIL
395,54.3,0.2,2843,0,90,90,90,90,0,Cross-Ply,258.45,0.003692,0.55382,1.238,No Fail
396,54.4,0.2,3279,0,90,90,90,90,0,Cross-Ply,267.121,0.003816,0.5724,1.263,No Fail
397,54.5,0.2,4524,0,90,90,90,90,0,Cross-Ply,437.109,0.006244,0.93666,1.749,No Fail
398,54.6,0.2,4265,0,90,90,90,90,0,Cross-Ply,482.518,0.006893,1.03397,1.879,No Fail
399,54.7,0.2,4770,0,90,90,90,90,0,Cross-Ply,530.85,0.007584,1.13754,2.017,No Fail
400,54.8,0.2,4372,0,90,90,90,90,0,Cross-Ply,466.072,0.006658,0.99873,1.832,No Fail
401,54.9,0.2,2545,0,90,90,90,90,0,Cross-Ply,254.598,0.003637,0.54557,1.227,No Fail
402,55.0,0.2,4996,0,90,90,90,90,0,Cross-Ply,538.017,0.007686,1.15289,2.037,No Fail
403,55.1,0.2,2020,0,90,90,90,90,0,Cross-Ply,158.019,0.002257,0.33861,0.951,FAIL
404,55.2,0.2,2708,0,90,90,90,90,0,Cross-Ply,242.355,0.003462,0.51933,1.192,No Fail
405,55.3,0.2,3402,0,90,90,90,90,0,Cross-Ply,332.212,0.004746,0.71188,1.449,No Fail
406,55.4,0.2,2626,0,90,90,90,90,0,Cross-Ply,242.556,0.003465,0.51976,1.193,No Fail
407,55.5,0.2,3941,0,90,90,90,90,0,Cross-Ply,451.342,0.006448,0.96716,1.79,No Fail
408,55.6,0.2,2317,0,90,90,90,90,0,Cross-Ply,186.429,0.002663,0.39949,1.033,No Fail
409,55.7,0.2,1653,0,90,90,90,90,0,Cross-Ply,71.793,0.001026,0.15384,0.705,FAIL
410,55.8,0.2,3968,0,90,90,90,90,0,Cross-Ply,381.514,0.00545,0.81753,1.59,No Fail
411,55.9,0.2,2851,0,90,90,90,90,0,Cross-Ply,225.262,0.003218,0.48271,1.144,No Fail
412,56.0,0.2,4373,0,90,90,90,90,0,Cross-Ply,445.578,0.006365,0.95481,1.773,No Fail
413,56.1,0.2,3234,0,90,90,90,90,0,Cross-Ply,253.374,0.00362,0.54294,1.224,No Fail
414,56.2,0.2,3258,0,90,90,90,90,0,Cross-Ply,381.172,0.005445,0.8168,1.589,No Fail
415,56.3,0.2,4544,0,90,90,90,90,0,Cross-Ply,477.898,0.006827,1.02407,1.865,No Fail
416,56.4,0.2,3041,0,90,90,90,90,0,Cross-Ply,242.028,0.003458,0.51863,1.192,No Fail
417,56.5,0.2,3099,0,90,90,90,90,0,Cross-Ply,295.675,0.004224,0.63359,1.345,No Fail
418,56.6,0.2,2935,0,90,90,90,90,0,Cross-Ply,248.048,0.003544,0.53153,1.209,No Fail
419,56.7,0.2,2040,0,90,90,90,90,0,Cross-Ply,138.884,0.001984,0.29761,0.897,FAIL
420,56.8,0.2,4892,0,90,90,90,90,0,Cross-Ply,539.799,0.007711,1.15671,2.042,No Fail
421,56.9,0.2,3924,0,90,90,90,90,0,Cross-Ply,429.339,0.006133,0.92001,1.727,No Fail
422,57.0,0.2,4481,0,90,90,90,90,0,Cross-Ply,461.737,0.006596,0.98944,1.819,No Fail
423,57.1,0.2,4508,0,90,90,90,90,0,Cross-Ply,438.507,0.006264,0.93966,1.753,No Fail
424,57.2,0.2,2608,0,90,90,90,90,0,Cross-Ply,250.136,0.003573,0.53601,1.215,No Fail
425,57.3,0.2,4158,0,90,90,90,90,0,Cross-Ply,409.973,0.005857,0.87851,1.671,No Fail
426,57.4,0.2,1626,0,90,90,90,90,0,Cross-Ply,60.0,0.000857,0.12857,0.671,FAIL
427,57.5,0.2,3709,0,90,90,90,90,0,Cross-Ply,436.565,0.006237,0.9355,1.747,No Fail
428,57.6,0.2,4991,0,90,90,90,90,0,Cross-Ply,493.248,0.007046,1.05696,1.909,No Fail
429,57.7,0.2,3019,0,90,90,90,90,0,Cross-Ply,255.922,0.003656,0.5484,1.231,No Fail
430,57.8,0.2,3718,0,90,90,90,90,0,Cross-Ply,433.797,0.006197,0.92957,1.739,No Fail
431,57.9,0.2,3053,0,90,90,90,90,0,Cross-Ply,243.799,0.003483,0.52243,1.197,No Fail
432,58.0,0.2,4662,0,90,90,90,90,0,Cross-Ply,479.774,0.006854,1.02809,1.871,No Fail
433,58.1,0.2,4287,0,90,90,90,90,0,Cross-Ply,515.747,0.007368,1.10517,1.974,No Fail
434,58.2,0.2,2812,0,90,90,90,90,0,Cross-Ply,288.452,0.004121,0.61811,1.324,No Fail
435,58.3,0.2,3359,0,90,90,90,90,0,Cross-Ply,380.184,0.005431,0.81468,1.586,No Fail
436,58.4,0.2,4274,0,90,90,90,90,0,Cross-Ply,445.441,0.006363,0.95452,1.773,No Fail
437,58.5,0.2,1776,0,90,90,90,90,0,Cross-Ply,168.046,0.002401,0.3601,0.98,FAIL
438,58.6,0.2,3669,0,90,90,90,90,0,Cross-Ply,325.355,0.004648,0.69719,1.43,No Fail
439,58.7,0.2,4695,0,90,90,90,90,0,Cross-Ply,543.937,0.007771,1.16558,2.054,No Fail
440,58.8,0.2,3114,0,90,90,90,90,0,Cross-Ply,348.16,0.004974,0.74606,1.495,No Fail
441,58.9,0.2,2394,0,90,90,90,90,0,Cross-Ply,238.436,0.003406,0.51093,1.181,No Fail
442,59.0,0.2,4316,0,90,90,90,90,0,Cross-Ply,524.5,0.007493,1.12393,1.999,No Fail
443,59.1,0.2,3872,0,90,90,90,90,0,Cross-Ply,348.097,0.004973,0.74592,1.495,No Fail
444,59.2,0.2,3046,0,90,90,90,90,0,Cross-Ply,337.226,0.004818,0.72263,1.464,No Fail
445,59.3,0.2,3557,0,90,90,90,90,0,Cross-Ply,379.843,0.005426,0.81395,1.585,No Fail
446,59.4,0.2,2985,0,90,90,90,90,0,Cross-Ply,265.691,0.003796,0.56934,1.259,No Fail
447,59.5,0.2,4459,0,90,90,90,90,0,Cross-Ply,511.517,0.007307,1.09611,1.961,No Fail
448,59.6,0.2,2846,0,90,90,90,90,0,Cross-Ply,305.432,0.004363,0.6545,1.373,No Fail
449,59.7,0.2,2330,0,90,90,90,90,0,Cross-Ply,199.806,0.002854,0.42815,1.071,No Fail
450,59.8,0.2,3512,0,90,90,90,90,0,Cross-Ply,344.069,0.004915,0.73729,1.483,No Fail
451,59.9,0.2,2533,0,90,90,90,90,0,Cross-Ply,159.361,0.002277,0.34149,0.955,FAIL
452,60.0,0.2,3804,0,90,90,90,90,0,Cross-Ply,329.014,0.0047,0.70503,1.44,No Fail
453,60.1,0.2,3481,0,90,90,90,90,0,Cross-Ply,379.228,0.005418,0.81263,1.584,No Fail
454,60.2,0.2,4106,0,90,90,90,90,0,Cross-Ply,407.511,0.005822,0.87324,1.664,No Fail
455,60.3,0.2,3622,0,90,90,90,90,0,Cross-Ply,427.686,0.00611,0.91647,1.722,No Fail
456,60.4,0.2,4665,0,90,90,90,90,0,Cross-Ply,506.152,0.007231,1.08461,1.946,No Fail
457,60.5,0.2,4296,0,90,90,90,90,0,Cross-Ply,485.296,0.006933,1.03992,1.887,No Fail
458,60.6,0.2,2733,0,90,90,90,90,0,Cross-Ply,236.64,0.003381,0.50709,1.176,No Fail
459,60.7,0.2,3673,0,90,90,90,90,0,Cross-Ply,356.818,0.005097,0.76461,1.519,No Fail
460,60.8,0.2,4023,0,90,90,90,90,0,Cross-Ply,397.604,0.00568,0.85201,1.636,No Fail
461,60.9,0.2,4434,0,90,90,90,90,0,Cross-Ply,454.3,0.00649,0.9735,1.798,No Fail
462,61.0,0.2,4662,0,90,90,90,90,0,Cross-Ply,488.444,0.006978,1.04667,1.896,No Fail
463,61.1,0.2,2581,0,90,90,90,90,0,Cross-Ply,211.41,0.00302,0.45302,1.104,No Fail
464,61.2,0.2,3529,0,90,90,90,90,0,Cross-Ply,363.574,0.005194,0.77909,1.539,No Fail
465,61.3,0.2,1815,0,90,90,90,90,0,Cross-Ply,98.97,0.001414,0.21208,0.783,FAIL
466,61.4,0.2,4116,0,90,90,90,90,0,Cross-Ply,460.382,0.006577,0.98653,1.815,No Fail
467,61.5,0.2,1963,0,90,90,90,90,0,Cross-Ply,191.873,0.002741,0.41116,1.048,No Fail
468,61.6,0.2,4900,0,90,90,90,90,0,Cross-Ply,531.626,0.007595,1.1392,2.019,No Fail
469,61.7,0.2,4697,0,90,90,90,90,0,Cross-Ply,505.958,0.007228,1.0842,1.946,No Fail
470,61.8,0.2,2399,0,90,90,90,90,0,Cross-Ply,163.098,0.00233,0.3495,0.966,FAIL
471,61.9,0.2,3186,0,90,90,90,90,0,Cross-Ply,267.755,0.003825,0.57376,1.265,No Fail
472,62.0,0.2,4113,0,90,90,90,90,0,Cross-Ply,392.454,0.005606,0.84097,1.621,No Fail
473,62.1,0.2,1903,0,90,90,90,90,0,Cross-Ply,162.498,0.002321,0.34821,0.964,FAIL
474,62.2,0.2,1993,0,90,90,90,90,0,Cross-Ply,91.928,0.001313,0.19699,0.763,FAIL
475,62.3,0.2,4510,0,90,90,90,90,0,Cross-Ply,423.807,0.006054,0.90816,1.711,No Fail
476,62.4,0.2,4930,0,90,90,90,90,0,Cross-Ply,511.137,0.007302,1.09529,1.96,No Fail
477,62.5,0.2,4316,0,90,90,90,90,0,Cross-Ply,398.04,0.005686,0.85294,1.637,No Fail
478,62.6,0.2,4267,0,90,90,90,90,0,Cross-Ply,471.013,0.006729,1.00931,1.846,No Fail
479,62.7,0.2,3378,0,90,90,90,90,0,Cross-Ply,400.059,0.005715,0.85727,1.643,No Fail
480,62.8,0.2,3855,0,90,90,90,90,0,Cross-Ply,404.815,0.005783,0.86746,1.657,No Fail
481,62.9,0.2,3546,0,90,90,90,90,0,Cross-Ply,335.318,0.00479,0.71854,1.458,No Fail
482,63.0,0.2,4791,0,90,90,90,90,0,Cross-Ply,479.856,0.006855,1.02826,1.871,No Fail
483,63.1,0.2,2318,0,90,90,90,90,0,Cross-Ply,247.724,0.003539,0.53084,1.208,No Fail
484,63.2,0.2,4595,0,90,90,90,90,0,Cross-Ply,559.213,0.007989,1.19831,2.098,No Fail
485,63.3,0.2,4703,0,90,90,90,90,0,Cross-Ply,502.742,0.007182,1.07731,1.936,No Fail
486,63.4,0.2,1721,0,90,90,90,90,0,Cross-Ply,153.986,0.0022,0.32997,0.94,FAIL
487,63.5,0.2,4683,0,90,90,90,90,0,Cross-Ply,465.388,0.006648,0.99726,1.83,No Fail
488,63.6,0.2,2929,0,90,90,90,90,0,Cross-Ply,302.744,0.004325,0.64874,1.365,No Fail
